了	乛 亅
使	亻 吏
牢	宀 牛
钻	钅 占
劝	又 力
筋	竹 肉 力
疲	疒 皮
课	讠 果
摆	扌 罢
座	广 坐
室	宀 至
交	亠 父
抢	扌 仓
愿	原 心
意	音 心
麦	丰 夂
该	讠 亥
伯	亻 白
刻	亥 刂
突	穴 犬
掉	扌 卓
湖	氵 胡
莲	艹 连
穷	穴 力
荷	艹 何
绝	纟 色
岭	山 令
雷	雨 田
新	立 木 斤
迎	辶 卬
扑	扌 卜
指	扌 旨
帮	邦 巾
助	且 力
导	巳 寸
碰	石 並
特	牜 寺
积	禾 只
杯	木 不
洗	氵 先
澡	氵 品 木
容	宀 谷
易	日 勿
浴	氵 谷
桶	木 甬
扇	户 羽
慢	忄 曼
遇	辶 禺
安	宀 女
根	木 艮
痛	疒 甬
最	日 取
店	广 占
决	冫 夬
定	宀 疋
夫	二 人
终	纟 冬
完	宀 元
换	扌 奂
期	其 月
蛙	虫 圭
搬	扌 般
倒	亻 到
籽	米 子
泉	白 水
破	石 皮
整	束 攵 正
抽	扌 由
纺	纟 方
织	纟 只
编	纟 扁
怎	乍 心
消	氵 肖
祖	礻 且
浓	氵 农 脓
望	亡 月 王
蓝	艹 监
摘	扌 啇
掏	扌 匋
赛	宀 井 大 贝
忆	忄 乙
觉	小 冖 见
值	亻 直
类	米 大
艰	又 艮
炎	火 火
此	止 匕
传	亻 专
忽	勿 心
理	王 里
通	辶 甬
晨	日 辰
绒	纟 戎
球	王 求
汉	氵 又
艳	丰 色
服	月 卩 又
装	壮 衣
扮	扌 分
静	青 争
停	亻 亭
孔	子 乙
雀	少 隹
粗	米 且
荒	艹 巟
笛	竹 由
狂	犭 王
功	工 力
罚	罒 讠 刂
假	亻 叚
所	户 斤
够	句 多
猜	犭 靑
臂	月 辟
寒	宀 井 大 冫
斜	余 斗
霜	雨 相
赠	贝 曾
盖	艹 羊 皿
菊	艹 匊
残	歹 戋
橙	木 登
送	辶 关
挑	扌 兆
落	艹 洛
铺	钅 甫
泥	氵 尼
晶	日 日 日
院	阝 完
墙	土 啬
排	扌 非
列	歹 刂
规	夫 见
则	贝 刂
棕	木 宗
迟	辶 尺
盒	合 皿
颜	彦 页
料	米 斗
票	襾 示
争	爫 彐 亅 爭
仙	亻 山
闻	门 耳
洞	氵 同
油	氵 由
柴	此 木
裙	衤 君
怜	忄 令
饿	饣 我
简	竹 间
蜡	虫 昔
烛	火 虫
伸	亻 申
板	木 反
富	宀 畐
颗	果 页
奶	女 乃
偷	亻 俞
救	求 攵
拼	扌 并
扫	扌 彐
胃	田 月
管	竹 官
泪	氵 目
准	冫 隹
备	夂 田
等	竹 寺
暴	日 恭
睡	目 垂
壁	辟 土
砍	石 欠
蜘	虫 知
蛛	虫 朱
漂	氵 票
撞	扌 童
饱	饣 包
晒	日 西
搭	扌 荅
亲	立 木
父	八 乂
羽	习 习
翠	羽 卒
悄	忄 肖
捕	扌 甫
蒲	艹 浦
英	艹 央
盛	成 皿
耍	而 女
欠	刀 人
钓	钅 勺
察	宀 祭
拢	扌 龙
趣	走 取
楚	林 疋
孤	子 瓜
帆	巾 凡
饮	饣 欠
初	衤 刀
镜	钅 竟
磨	麻 石
遥	辶 爫 缶
银	钅 艮
盘	舟 皿
优	亻 尤
淡	氵 炎
浅	氵 戋
错	钅 昔
岩	山 石
挺	扌 廷
刺	朿 刂
数	娄 攵
厚	厂 日 子
宝	宀 玉
滨	氵 宾
飘	票 风
渔	氵 鱼
遍	辶 扁
躺	身 尚
载	土 戈 车
靠	告 非
除	阝 余
踩	足 采
洁	氵 吉
脑	月 亠 乂 凵
袋	代 衣
实	宀 头
挡	扌 当
视	礻 见
线	纟 戋
坛	土 云
显	日 业
材	木 才
软	车 欠
刮	舌 刂
库	广 车
妙	女 少
演	氵 寅
琴	王 王 今
感	咸 心
受	爫 冖 又
激	氵 敫
击	二 山
滴	氵 啇
敲	高 攵
诉	讠 斥
读	讠 卖
虾	虫 下
麻	广 林
勇	甬 力
蚂	虫 马
蚁	虫 义
短	矢 豆
栽	土 戈 木
梨	利 木
柔	矛 木
摇	扌 爫 缶
朝	卓 月
雾	雨 务
蒙	艹 冡
鼻	自 田 廾
抖	扌 斗
露	雨 路
湿	氵 显
猎	犭 昔
翅	支 羽
膀	月 旁
庭	广 廷
登	癶 豆
跌	足 失
众	人 人 人
持	扌 寺
郊	交 阝
粉	米 分
粒	米 立
男	田 力
者	耂 日
冻	冫 东
冷	冫 令
惜	忄 昔
肯	止 月
诚	讠 成
焰	火 臽
刚	冈 刂
烈	列 灬
离	离 隹 離
仍	亻 乃
取	耳 又
险	阝 佥
融	鬲 虫
鸳	夗 鸟
鸯	央 鸟
崇	山 宗
芦	艹 户
芽	艹 牙
梅	木 每
溪	氵 奚
泛	氵 乏
减	冫 咸
凑	冫 奏
拂	扌 弗
集	隹 木
聚	耳 又 乑
形	开 彡
掠	扌 京
偶	亻 禺
沾	氵 占
倦	亻 卷
闲	门 木
纤	纟 千
痕	疒 艮
瓣	辛 瓜 辛
蓬	艹 逢
胀	月 长
裂	列 衣
姿	次 女
势	执 力 勢
仿	亻 方
佛	亻 弗
随	阝 迶
蹈	足 舀
守	宀 寸
株	木 朱
待	彳 寺
宋	宀 木
耕	耒 井
触	角 虫
骄	马 乔
傲	人 敖
谦	讠 兼
虚	虍 业
懦	忄 需
弱	弓 冫 弓 冫
提	扌 是
尘	小 土
讶	讠 牙
捧	扌 奉
代	亻 弋
价	亻 介
塘	土 唐
映	日 央
欣	斤 欠
赏	尚 贝
匀	勹 冫
致	至 攵
配	酉 己
传	亻 专
狮	犭 师
符	竹 付
欲	谷 欠
魂	云 鬼
借	亻 昔
酒	氵 酉
何	亻 可
牧	牜 攵
独	犭 虫
佳	亻 圭
伟	亻 韦
录	彐 水
保	亻 呆
约	纟 勺
验	马 佥
捞	扌 劳
阿	阝 可
欧	区 欠
洲	氵 州
社	礻 土
赵	走 乂
省	少 目
匠	匚 斤
设	讠 殳
创	仓 刂
智	知 日
慧	彗 心
历	厂 力
芬	艹 分
芳	艹 方
内	冂 人
醒	酉 星
寿	丰 寸
苏	艹 办
强	弓 虽
示	二 小
昆	日 比
修	攸 彡
建	廴 聿
组	纟 且
蜜	宓 虫
蜂	虫 夆
阻	阝 且
跨	足 夸
括	扌 舌
检	木 佥
查	木 旦
确	石 角
误	讠 吴
途	辶 余
陌	阝 百
宇	宀 于
宙	宀 由
淌	氵 尚
秘	禾 必
密	宓 山
栋	木 东
梯	木 弟
铃	钅 令
乘	禾 丬 匕
绪	纟 者
篇	竹 扁
越	走 戉
状	丬 犬
狐	犭 瓜
狸	犬 里
腰	月 要
零	雨 令
巧	工 万
续	纟 卖
抬	扌 台
烦	火 页
墨	黑 土
染	氵 九 木
竿	竹 干
碎	石 卒
拨	扌 发
浪	氵 良
葫	艹 胡
爽	大 乂 乂 乂 乂
蘑	艹 磨
菇	艹 姑
表	丰 
胆	月 旦
理	王 里
夺	大 寸
仇	亻 九
付	亻 寸
倍	亻 咅
泡	氵 包
件	亻 牛
皂	白 七
剩	乘 刂
碗	石 宛
悠	攸 心
若	艹 右
透	辶 秀
娇	女 乔
扯	扌 止
仰	亻 卬
婴	贝 贝 女
幻	幺 ㇆
诱	讠 秀
润	氵 闰
芒	艹 亡
冰	冫 水
剑	佥 刂
通	辶 甬
模	木 莫
型	刑 土
宁	宀 丁
官	宀 㠯
汪	氵 王
攻	工 攵
推	扌 隹
迅	辶 卂
速	辶 束
退	辶 艮
轮	车 仑
煤	火 某
铁	钅 失
胡	古 月
灿	火 山
骑	马 奇
秒	禾 少
腿	月 退
凶	凵 乂
猛	犭 孟
接	扌 妾
庙	广 由 廟
镇	钅 真
性	忄 生
卷	𠔉 㔾
货	化 贝
算	竹 目 廾
夸	大 亏
务	夂 力
衬	衤 寸
衫	衤 彡
负	刀 贝
责	丰 贝
艺	艹 乙
漏	氵 屚
胖	月 半
驴	马 户
贼	贝 戎
狼	犭 良
莫	艹 日 大
厉	厂 万
抱	扌 包
架	加 木
胶	月 交
粘	米 占
偏	亻 扁
潮	氵 朝
据	扌 居
堤	土 是
阔	门 活
盼	目 分
滚	氵 衮
顿	屯 页
逐	辶 豕
渐	氵 斩
堵	土 者
犹	犭 尤
崩	山 朋
震	雨 辰
霎	雨 妾
余	人 于 八
淘	氵 匋
牵	大 冖 牛
鹅	我 鸟
坑	土 亢
洼	氵 圭
填	土 真
庄	广 土
稼	禾 家
俗	亻 谷
跃	足 夭
葡	艹 匍
萄	艹 匋
稻	禾 舀
熟	孰 灬
豌	豆 宛
按	扌 安
舒	舍 予
适	辶 舌
暗	日 音
恐	工 凡 心
僵	亻 畺
硬	石 更
枪	木 仓
耐	而 寸
探	扌 罙
愉	忄 俞
沟	氵 勾
溢	氵 益
蚊	虫 文
即	艮 卩
科	禾 斗
横	木 黄
竖	刂 又 立
绳	纟 黾
蝇	虫 黾
证	讠 正
研	石 开
究	穴 九
达	辶 大
驾	加 马
驶	马 史
纪	纟 己
技	扌 支
改	己 攵
程	禾 呈
超	走 召
亿	亻 乙
核	木 亥
联	耳 关
任	亻 壬
暮	莫 日
题	是 页
侧	亻 则
峰	山 夆
庐	广 户
缘	纟 彖
降	阝 夅
费	弗 贝
须	彡 页
逊	辶 孙
输	车 俞
虎	虍 儿
操	扌 品 木
嫩	女 敕
顺	川 页
均	土 匀
叠	叒 冝
隙	阝 小 日 小
柄	木 丙
萎	艹 委
瞧	目 焦
宅	宀 乇
慎	忄 真
选	辶 先
址	土 止
穴	宀 八
厅	厂 丁
卧	臣 卜
较	车 交
睁	目 争
翻	番 羽
斧	父 斤
劈	辟 刀
缓	纟 爰
浊	氵 虫
撑	扌 掌
竭	立 曷
累	田 丝
液	氵 夜
奔	大 卉
茂	艹 戊
滋	氵 兹
溺	氵 弱
返	辶 反
衔	行 钅
悲	非 心
惨	忄 参
佩	亻 几 帀
违	辶 韦
抗	扌 亢
环	王 不
锁	钅 小 贝
既	艮 旡
狠	犭 艮
著	艹 者
愤	忄 贲
获	艹 犭 犬
奈	大 示
巢	巛 果
齿	止 人 凵
躯	身 区
掩	扌 奄
护	扌 户
幼	幺 力
搏	扌 尃
庞	广 龙
愣	忄 罒 方
级	纟 及
链	钅 连
颤	亶 页
攀	林 爻 大 手
猴	犭 侯
念	今 心
辫	辛 纟 辛
摸	扌 莫
跪	足 危
捶	扌 垂
绕	纟 尧
顽	元 页
脖	月 孛
脱	月 兑
概	木 既
惹	若 心
昏	氏 日
握	扌 屋
摔	扌 率
凭	任 几
掐	扌 臽
班	玉 刂 王
殷	㐆 殳
俩	亻 两
套	大 镸
裤	衤 库
逃	辶 兆
挖	扌 穵
撤	扌 育 攵
堂	尚 土
砸	石 匝
锅	钅 呙
况	冫 兄
败	贝 攵
椅	木 奇
恨	忄 艮
预	予 页
溃	氵 贵
塞	宀 井 大 土
征	彳 正
词	讠 司
催	亻 崔
醉	酉 卒
杰	木 灬
雄	厷 隹
项	工 页
默	黑 犬
晰	日 析
振	扌 辰
胸	月 匈
怀	忄 不
赞	先 先 贝
效	交 攵
顾	厄 页
训	讠 川
尝	小 冖 云
诸	讠 者
竞	立 兄
豹	豸 勺
派	氵 厂 氏
娶	取 女
媳	女 息
妇	女 彐
淹	氵 奄
逼	辶 畐
浮	氵 孚
旱	日 干
徒	彳 走
扔	扌 乃
饶	饣 尧
骗	马 扁
灌	氵 雚
溉	氵 既
杂	九 木
稀	禾 希
蜻	虫 青
蜓	虫 廷
蝶	虫 枼
宿	宀 亻 百
徐	彳 余
疏	疋 巟
茅	艹 矛
檐	木 詹
翁	公 羽
笼	竹 龙
赖	束 负
剥	录 刂
构	木 勾
蹲	足 尊
凤	几 又
序	广 予
投	扌 殳
例	亻 列
耸	从 耳
踏	足 沓
倘	亻 尚
绘	纟 会
谐	讠 皆
寄	宀 奇
眠	目 民
慰	尉 心
锐	钅 兑
滩	氵 难
帐	巾 长
烁	火 乐
蝙	虫 扁
蝠	虫 畐
霸	雨 革 月
鹰	广 亻 隹 鸟
怒	奴 心
脂	月 旨
拭	扌 式
餐	歺 又 食
划	戈 刂
晌	日 向
辣	辛 束
渗	氵 参
挣	扌 争
番	采 田
埋	土 里
刷	尸 巾 刂
测	氵 则
详	讠 羊
笨	竹 本
钝	钅 屯
鸽	合 鸟
凌	冫 夌
描	扌 苗
隧	阝 遂
态	太 心
颅	卢 页
膨	月 彭
肢	月 支
翼	羽 異
纳	纟 内
拥	扌 用
箱	竹 相
臭	自 犬
蔬	艹 疏
碳	石 炭
钢	钅 冈
隐	阝 急
健	亻 建
康	广 隶
胞	月 包
疾	疒 矢
防	阝 方
灶	火 土
需	雨 而
繁	每 攵 糸
漫	氵 曼
藤	艹 滕
萝	艹 罗
膝	月 桼
涛	氵 寿
躲	身 朵
瓶	并 瓦
挤	扌 齐
挥	扌 军
桦	木 华
涂	氵 余
茸	艹 耳
绣	纟 秀
潇	氵 肃
穗	禾 惠
朦	月 蒙
胧	月 龙
寂	宀 叔
霞	雨 叚
抹	扌 末
忧	忄 尤
虑	虍 心
贪	今 贝
职	耳 只
屏	尸 并
蹭	足 曾
稿	禾 高
腔	月 空
解	角 刀 牛
闷	门 心
蛇	虫 它
遭	辶 曹
殃	歹 央
盆	分 皿
勃	孛 力
讨	讠 寸
厌	厂 犬
坝	土 贝
忠	中 心
毒	丰 母
绩	纟 责
孵	卵 孚
警	敬 言
戒	廾 戈
歪	不 正
掘	扌 屈
伏	亻 犬
调	讠 周
促	亻 足
颇	皮 页
剧	居 刂
苟	艹 句
譬	辟 言
侍	亻 寺
馆	饣 官
附	阝 付
脾	月 卑
敏	每 攵
捷	扌 疌
昂	日 卬
供	亻 共
添	氵 忝
扩	扌 广
范	艹 氾
努	奴 力
刹	杀 刂
烂	火 兰
替	夫 夫 日
镶	钅 襄
紫	此 糸
仅	亻 又
浙	氵 折
罗	罒 夕
杜	木 土
鹃	肙 鸟
窄	穴 乍
郁	有 阝
肩	戶 月
臀	月 殿
移	禾 多
额	客 页
陆	阝 击
乳	孚 乙
笋	竹 尹
端	立 山 而
源	氵 原
萤	艹 冖 虫
勤	堇 力
贫	分 贝
逢	辶 夆
晋	亚 日
炕	火 亢
晃	日 光
栓	木 全
胳	月 各
膊	月 尃
劫	去 力
绸	纟 周
扒	扌 八
敌	舌 攵
趁	走 人 彡
慌	忄 荒
芙	艹 夫
蓉	艹 容
洛	氵 各
壶	士 冖 业
雁	厂 亻 隹
射	身 寸
弹	弓 单
荣	艹 冖 木
爆	火 暴
炸	火 乍
伦	亻 仑
腹	月 复
剖	咅 刂
窟	穴 屈
窿	穴 隆
混	氵 昆
维	纟 隹
秩	禾 失
岗	山 冈
宰	宀 辛
措	扌 昔
践	足 戋
绍	纟 召
妖	女 夭
矩	矢 巨
乖	千 北
撵	扌 辇
烫	汤 火
拽	扌 曳
福	礻 畐
舔	舌 忝
葵	艹 癸
瘦	疒 叟
棒	木 奉
罢	罒 去
硕	石 页
砌	石 切
牌	片 卑
禁	林 示
惩	征 心
踪	足 宗
颊	夹 页
拆	扌 斥
宜	宀 且
鹤	隺 鸟
嫌	女 兼
嵌	山 甘 欠
框	木 匡
匣	匚 甲
恩	因 心
韵	音 匀
亩	亠 田
播	扌 番
浇	氵 尧
榨	木 窄
矮	矢 委
谈	讠 炎
懂	忄 董
箩	竹 罗
婆	波 女
糕	米 羔
饼	饣 并
浸	氵 彐 冖 又
缠	纟 广 里
捡	扌 佥
汛	氵 卂
访	讠 方
鞋	革 圭
挽	扌 免
隔	阝 鬲
懒	忄 赖
惰	忄 左 月
稳	禾 急
衡	行 刀 田 大
绰	纟 卓
议	讠 义
缺	缶 夬
献	南 犬
诺	讠 若
典	曲 八
抄	扌 少
罪	罒 非
怯	忄 去
拒	扌 巨
荆	井 刂
冠	冖 元 寸
俯	亻 府
枚	木 攵
箭	竹 前
筒	竹 同
置	罒 直
侵	亻 彐 冖 又
略	田 各
筑	竹 巩
堡	保 土
党	小 冖 兄
妨	女 方
蔽	艹 敝
陷	阝 臽
拐	扌 另
酬	酉 州
珍	王 人 彡
塌	土 曰 羽
焦	隹 灬
誓	折 言
谎	讠 荒
悔	忄 每
扶	扌 夫
郎	良 阝
爹	父 多
嫂	女 叟
辆	车 两
罕	罓 干
纱	纟 少
趟	走 尚
托	扌 乇
溜	氵 留
婚	女 昏
辈	非 车
挨	扌 矣
祭	夗 示
杭	木 亢
亥	亠 □ 人
恃	忄 寺
拘	扌 句
泻	氵 写
潜	氵 替
试	讠 式
胎	月 台
皇	白 王
履	尸 復
疆	弓 土 畺
毁	臼 工 殳
估	亻 古
拱	扌 共
辉	车 军
煌	火 皇
殿	尸 共 殳
陵	阝 夌
境	土 竟
宏	宀 厷
闯	门 马
统	纟 充
销	钅 肖
摄	扌 聂
殖	歹 直
粮	米 良
炭	山 厂 火
区	匚 乂
杀	乂 木
菌	艹 囷
疗	疒 了
秀	禾 乃
玲	王 令
珑	王 龙
歇	曷 欠
窝	穴 呙
滑	氵 骨
拾	扌 合
狭	犭 夹
勉	免 力
梳	木 巟
辞	舌 辛
抑	扌 卬
碌	石 录
酷	酉 告
暑	日 者
脊	月 人 二 二
罩	罒 卓
竟	立 日 儿
忍	刃 心
械	木 戒
酸	酉 夋
权	木 又
蚕	天 虫
考	耂 丂
疼	疒 冬
席	广 廿 巾
糖	米 唐
屑	尸 肖
迪	辶 由
钉	钅 丁
陪	阝 咅
煮	者 灬
枕	木 冘
孙	子 小
泊	氵 白
愁	秋 心
寺	土 寸
畔	田 半
晕	日 军
漆	氵 桼
幕	莫 巾
愈	俞 心
旷	日 广
怡	忄 台
逸	辶 免
桨	丬 夕 木
榕	木 容
纠	纟 丩
耀	光 翟
桩	木 庄
涨	氵 张
塔	土 荅
梢	木 肖
暇	日 叚
抛	扌 尢 力 拋
耻	耳 止
诲	讠 每
谓	讠 胃
诵	讠 甬
岂	山 己
舅	臼 男
津	氵 聿
斩	车 斤
限	阝 艮
凯	岂 几
葛	艹 曷
述	辶 术
贾	覀 贝
刊	干 刂
琐	王 小 贝
朴	木 卜
某	甘 木
昼	尺 旦
耘	耒 云
桑	木 又 又 又
晓	日 尧
蝴	虫 胡
蚱	虫 乍
樱	木 婴
榆	木 俞
拔	扌 犮
瞎	目 害
铲	钅 产
锄	钅 助
割	害 刂
尾	尸 毛
承	氶 三
拴	扌 全
瓢	票 瓜
逛	辶 狂
妒	女 户
忌	己 心
督	叔 目
委	禾 女
鲁	鱼 日
疑	匕 矢 龴 疋
惑	或 心
遮	辶 庶
寨	宀 井 大 木
擂	扌 雷
插	扌 臿
冈	冂 乂
饥	饣 几
碟	石 世 木
俺	人 奄
榜	木 旁
杖	木 丈
悉	釆 心
坠	队 土
膛	月 堂
截	土 戈 隹
仞	亻 刃
岳	丘 山
摩	麻 手
遗	辶 贵
涕	氵 弟
巫	工 人 人
彭	壴 彡
拟	扌 以
谋	讠 某
瑞	王 耑
损	扌 员
锻	钅 段
眷	𠔉 目
赴	走 卜
搞	扌 高
殊	歹 朱
尊	酋 寸
签	竹 佥
庆	广 大
诊	讠 人 彡
沃	氵 夭
龄	齿 令
匪	匚 非
绷	纟 朋
审	宀 申
剂	齐 刂
崭	山 斩
慈	茲 心
祥	礻 羊
荣	艹 冖 木
跤	足 交
搂	扌 娄
仗	亻 丈
鞭	革 便
欺	其 欠
挠	扌 尧
扳	扌 反
腕	月 宛
剃	弟 刂
腮	月 思
疤	疒 巴
侄	亻 至
浆	丬 夕 水
傅	亻 甫 寸
袱	衤 伏
障	阝 章
芝	艹 之
圣	又 土
犯	犭 卩
馅	饣 臽
轰	车 又 又
堪	土 甚
诈	讠 乍
傻	亻 囟 儿 夂
捏	扌 圼
怔	忄 正
誉	兴 言
拳	𠔉 手
擦	扌 察
策	竹 朿
荐	艹 存
艘	舟 叟
航	舟 亢
肆	镸 聿
帽	巾 冒
桅	木 危
撕	扌 斯
逗	辶 豆
钩	钅 勾
扭	扌 丑
舱	舟 仓
鸥	区 鸟
瞄	目 苗
尼	尸 匕
斯	其 斤
艇	舟 廷
纵	纟 从
艄	舟 肖
翘	尧 羽
垫	执 土
姆	女 母
祷	礻 寿
雇	户 隹
簇	竹 族
码	石 马
仪	亻 义
眺	目 兆
骏	马 夋
驰	马 也
辽	辶 了
绵	纟 帛
凳	登 几
铛	钅 当
罐	缶 雚
恢	忄 灰
踢	足 易
牲	牜 生
畜	玄 田
梁	氵 刅 木
聪	耳 总
诣	讠 旨
禽	人 离
拇	扌 母
搔	扌 蚤
痒	疒 羊
秽	禾 岁
拧	扌 宁
螺	虫 累
纽	纟 丑
貌	豸 白 儿
仓	人 㔾
渺	氵 目 少
庸	广 聿 冂 二
憎	忄 曽
毯	毛 炎
玻	王 皮
璃	王 离
裳	尚 衣
虹	虫 工
蹄	足 帝
腐	广 付 肉
稍	禾 肖
微	彳 山 兀 攵
缀	纟 叕
窥	穴 规
幽	山 幺 幺
雅	牙 隹
案	安 木
拙	扌 出
帘	穴 巾
薄	艹 氵 尃
糊	米 胡
蕾	艹 雷
恰	忄 合
襟	衤 禁
恍	忄 光
怨	夕 卩 心
鹊	昔 鸟
蝉	虫 单
律	彳 聿
崖	山 厓
渡	氵 度
寇	宀 元 攴
副	畐 刂
榴	木 留
弹	弓 单
抡	扌 仑
贯	母 贝
棋	木 其
悬	县 心
沸	氵 弗
