갖다줘요,to give away,Actions or verbs.
같아요,"to be the same, seem like, look like,, similar",Comparison words
갖다 줬어요,to give away,Actions
같다,"to be the same, seem like, look like,, similar",Comparisons
같았어요,"to be the same, seem like, look like,, similar",Comparisons
같이,together with,Collaboration
강아지,puppy,Animals
갚아요,"to get angry, be mad at, vent one's anger",Emotions and feelings
갚을 거예요,"to get angry, be mad at, vent one's anger",Emotions or Feelings
갚다,Vietnam,Countries
개강,beginning of semester,School events
개그,"jokes, humor",Comedy
개구리,frog,Animals
개교하다,to open a school,Education
개미,ant,Animals
개선,improvement,Positive Changes
개선하다,"to be refreshing, fresh",Describing feelings or emotions
개성,"crown, tiara",Royalty or Monarchy
개신교,Protestantism,Religion
개시하다,"to begin, start, open, commence",Actions or Verbs
개입하다,"to intervene, interfere, step in",Conflict resolution
개인적인,private,Privacy
개인적,"personal, being individual",Adjectives describing characteristics.
개인,"individual, each person",Personalities and People
개편,"reorganization, reform, restructuring, reshuffle",Management Changes
개조하다,"to remodel, alter, renovate",Home Renovation
갯벌,"mud flat, dry beach",Nature or Geography
거기,there,Adverbs
거대한,monster,Mythical Creatures
거꾸로,"upside down, inside out, backwards, in reverse order",Opposites
거듭나다,"to reform, be reborn, turn over a new leaf",Self-improvement
거리,sky blue,Colors
거만하다,"to be arrogant, snobbish, stuck-up",Personality traits
강풍,gale,Weather conditions
거문고,Korean harp,Musical Instruments
거미,spider,Animals
거문고자리,Lyra,Constellations
거부권,veto,Government and politics
거북,turtle,Animals
거스름돈,"resident, inhabitant",Occupations or Jobs
거시경제학,macroeconomics,Academic Subjects
거실,living room,Rooms in a house
거스르다,go against,Opposition or defiance
거울,mirror,Household items
거위,goose,Animals
거의,"almost, a little less than all, nearly, about, practically",Quantity and Approximation
거지,"stage, phase, step",Progression
거짓말,"lie, untrue",Deception
거쳐요,to be lonely,Emotions
거치다,to be lonely,Emotions
갚았어요,"to get angry, be mad at, vent one's anger",Emotions & Feelings
거쳤어요,to be lonely,Emotions
거품,"bubble, foam",Water-based items/objects
건강보험증,health insurance card,Healthcare
걱정하다,"to change schools, transfer schools",School Life
거절하다,"red light distric, brothel, unlicensed prostitute",Adult Entertainment
건강,health,Wellness
건너가요,"to cross, go across",Transportation
건너가다,"to cross, go across",Transportation
건강하다,"to be healthy, fit, strong",Health and Wellness
건국,"establishment of a country, found a country",Historical Events
건강한,healthy,Health and Wellness
건너,"across, opposite side",Direction/location.
건너갈 거예요,"to cross, go across",Transportation
건너갔어요,"to cross, go across",Transportation
건네다,passionate,Emotions or Feelings
건달,good-for-nothing,Negative Traits
건네요,"to be scary, scared",Emotions
건넬 거예요,"to be scary, scared",Emotions or Feelings
건넸어요,"to be scary, scared",Emotions and feelings
건방지다,"to be impertinent, arrogant, cocky",Personality Traits
건물,"building, structure",Architecture
건장하다,"to be well built, have a strong physique",Physical Fitness
건배,"toast, cheers",Celebrations
건시,dry season,Weather and Seasons
건조하다,"to progress, proceed",Verbs
건지다,to buy something and bring it,Shopping
건축물,"building, structure",Architecture
건져요,to buy something and bring it,Shopping
건초,hay,Farm items
건축술,architecture,Buildings and structures
건졌어요,to buy something and bring it,Shopping
걷다,to walk,Movement
건포도,raisin,Fruits.
걸레질,"mopping, wiping",Household chores
걸상,stool,Furniture
걸어다녀요,"to tear, rip",Actions
걸어다녔어요,"to tear, rip",Actions or Verbs
걸어다니다,"to tear, rip",Actions/Verbs
걸어다닐 거예요,"to tear, rip",Actions or Activities
걸어올 거예요,"to come by foot, walk down, follow",Transportation
걸어오다,"to come by foot, walk down, follow",Modes of transportation
걸을 거예요,to walk,Activities/Actions
걸어와요,"to come by foot, walk down, follow",Transportation
걸어요,to walk,Verbs
걸렸어요,"to be very strong, very hardcore, superb, good shape",Physical Fitness
걸어왔어요,"to come by foot, walk down, follow",Transportation or Movement
걸리다,"to be very strong, very hardcore, superb, good shape",Strength and Toughness
걸었어요,to walk,Actions/Verbs
걸릴 거예요,"to be very strong, very hardcore, superb, good shape",Strength and Fitness
검,sword,Weapons
걸음,"cause, factor, reason",Walking
검거하다,"to catch, arrest, round up, apprehend",Law enforcement
걸치다,put on,Clothing/actions with clothing
검사관,"inspector, examiner, auditor",Occupations
검다,to be black,Colors
검사하다,"to sponsor, support, make a contribution",Donation or Funding
검색 엔진,search engine,Technology
검색어,search term,Digital Technology
검어요,to be black,Colors
검은색,"black, a dark color",Colors
검색하다,"expert, master",Skills or Abilities
검었어요,to be black,Colors
검찰,the prosecution,Legal Terms
겁,"fear, scared, dread, terror",Emotions
검투사,gladiator,Ancient Rome or historical Warriors
게,crab,Seafood
게놈,genome,Biology
겉씨식물,gymnosperm,Plants
걸려요,"to be very strong, very hardcore, superb, good shape",Fitness
검을 거예요,to be black,Colors
게다가,"in addition, besides, on top of that, furthermore, additionally",Transition Words
겁쟁이,"coward, scaredy cat, chicken",Personality Traits
게슈타포,Gestapo,World War II Terminology
게시판,"feeling, sensation, sense, hunch, impression",Emotions
게으르다,"to be lazy, idle",Personality Traits
게을러요,"to be lazy, idle",Personality Traits
게으를 거예요,"to be lazy, idle",Personality Traits
게을렀어요,"to be lazy, idle",Personality traits
게임,game,Entertainment
게재하다,"to print, publish, run",Media and Publishing
겨칠 거예요,to be lonely,Emotions
겨울,winter,Seasons
견과,nut,Food
견질 거예요,to buy something and bring it,Shopping
견디다,"to close one's mouth, shut up, keep quiet",Manners and Etiquette
견학,"field trip, tour",School Activities
결과,"result, outcome, consequence, effect",Outcome or Results
겪다,experience,Life experiences
견본,sample,Stationery and Office Supplies
견해,"actuality, reality",Perception and Reality.
견적,waiting person???,Occupations
결백하다,"to be innocent, guiltless, not guilty",Legal Terms
결승,"finals, play-off",Sports games / Competition.
결말,"eternally, permanently, last endlessly without changing",Timelessness
결정학,crystallography,Science
결심,"determination, resolution, decision",Self-improvement
격리,quarantine,Health and safety
결정하다,"to apply for, request, subscribe, ask out, register",Actions or Verbs
겨울철,winter season,Weather and Seasons
결혼하다,to get married,Life events.
결혼식,wedding ceremony,Life events
경고,warning,Safety
경고하다,warn,Actions/Verbs
결혼한,married,Relationship Status
겸손하다,"to be modest, humble",Personality Traits
경기,suit,Formal Wear
경기장,driver,Transportation
경도,longitude,Geography
경력,"career, work experience",Professional Life
경복궁,Gyeong Bok palace,Korean Landmarks
경영,"fog, mist",Weather
경영학,"crewman, stewardess",Professions or Jobs
경솔하다,be careless,Personality traits
경쟁 업체,competition,Business or Companies
경쟁,"competition, contest, rivalry",Sports
경쟁사,"competitor, rival company",Business or Corporate World
경쟁자,"rival, competitor",Competition
경적,horn,Musical Instruments
경쾌하다,"to be cheerful, pleasant, rhythmical",Positive Emotions and Feelings
경제적,"financial, economic",Finance and Economics.
경주,"agreement, agreeing",Negotiation & Diplomacy
경찰관,police officer,Occupations.
경찰,"police, police officer",Occupations
경청하다,"to listen attentively, be all ears",Listening skills
경치,alone,Emotions
경제,economy,Academic Subjects
경험,experience,Life Experiences
경호,"guard, bodyguard, escort",Security personnel
경찰서,police station,Public Buildings
경향,"tendency, trend, inclination",Adjectives and Descriptions.
경험하다,"speaker, lecturer, instructor",Occupations.
곁,weirdo,Personality Traits
계급,"to rent, lend, loan",Finance
계단,"stairs, step",Furniture and household items
계란,pizza,Ingredients
경호원,"bodyguard, escort",Occupations
계산대,"counter, checkout",Shopping
계산기,calculator,Technology
계약,"notebook, laptop",Electronics.
계절,"season, high season, peak",Weather and Seasons
계산서,"coin bank, piggy bank",Money-related items
계약직,contract worker,Employment terms
계산하다,"to be valuable, important, precious",Valuables & Treasures
계집아이,sales,Retail
계좌,bank account,Finance
계획표,"written schedule, plans, planning chart",Organization
계산원,cashier,Occupations
계층 구조,hierarchy,Organization structure / Business terminology
고구마,sweet potato,Vegetables
고객,"customer, client",Business and Services
고기,meat,Food
고등학교,high school,Education
고독하다,be lonely,Emotions/Feelings
고등학생,high school student,Education
고개,"waiter, waitress, employee, staff, worker",Occupations
고래,whale,Sea animals
고동색,reddish brown,Colors
고급,"high rank, seniority, high class",Luxury and Prestige
고래자리,Cetus,Constellations
고르다,the second half of the year,Seasons
고려하다,"to consider, take into account",Decision-making
고립,isolation,Emotions/Feelings
고마웠어요,"to be thankful, grateful",Emotions
고마울 거예요,"to be thankful, grateful",Emotions and feelings
고마워요,"to be thankful, grateful",Emotions or Feelings
고맙다,"to be thankful, grateful",Emotions
고무신,rubber shoes,Footwear
고모부,father's sister's husband,Family relationships
고민,"condition, state",Emotions or feelings
고사,"to be polite, courteous, well-mannered, civil",Good manners
고백하다,"to confess, admit",Emotions or Actions
고사하다,live broadcast,Television broadcasting
고소,maple tree,Trees
고생하다,"to suffer, have a hard time, have trouble",Challenges or Difficulties
고아,orphan,Family Relations
고속버스,express bus,Transportation
고속도로,"expressway, highway",Transportation
고아 주,Goa,Travel destinations
고아원,orphanage,Family and Relationships
고양이,cat,Animals
고용하다,"to hire, employ",Business and Employment
고자질하다,"to tattle, tell on",Behavior
고요하다,"to be still, quiet, calm, silent, peaceful",Nature and Environment
고집,"stubbornness, insistence, adhere to, cling to",Personality Traits
고체의,solid,States of Matter
고추장,red-pepper paste,Condiments
고쳤어요,"to fix, repair",Handyman tasks
고치다,"to fix, repair",Household chores
고추,Chinese spicy noodle soup,Food or Korean cuisine
고칠 거예요,"to fix, repair",Handyman tasks
고쳐요,"to fix, repair",Household chores.
고해,confession,Sin or wrongdoing.
곡,rubber shoes,Footwear
곡식,"grain, cereals, crop",Food & Agriculture
고향,hometown,Places
곡예사,acrobat,Occupations
곤충,"insect, bug",Animals
곤봉,club,Sports equipment
곧은,straight,Geometry
곧,"to respect, look up to, admire",Admiration
골든게이트 교,Golden Gate Bridge,Landmarks
곧잘,"quite well, frequently",Adverbs.
곧장,high-heeled dress shoes,Fashion items
골고루,"evenly, equally",Adverbs
골프,golf,Sports
곱슬곱슬하다,to be curly,Hair types.
공,"subject, theme, topic",Education
곳,place,Location
골목,alley,Urban landmarks
곰,bear,Animals
공감,sympathy,Emotions
공개하다,"strike, walkout",Labor Movements
공공기관,public institution,Government or Administration
공기,"to want, desire, covet, have a craving",Desires/Wants
공기펌프자리,Antlia,Constellations
공동,"laundry, dry cleaner's",Clothing care
공간,"space, room",Outer space
공무원,"public servant, government employee, public officer",Occupations
공룡,dinosaur,Prehistoric creatures
공부하다,to study,Education
공부,studying,Education
공산주의,communism,Political ideologies
공상과학,science fiction,Literature genres
공손하다,"to be polite, courteous, well-mannered, civil",Traits and Behaviors
공수도,karate,Martial arts
공연장,"concert hall, venue",Entertainment venues
공연,"public performance, concert, show",Entertainment
공업,"empty seat, vacant spot",Job Positions
공유 결합,covalent bond,Chemistry
공원,park,Outdoor places
공의회,ecumenical council,Religious gatherings
공장,"factory, plant, mill",Industry and Manufacturing
공정 이용,fair use,Copyright and Intellectual Property
공중,physics,Science
공주,"bedroom, room for sleeping",Fairy tales.
공중전화,"public phone, pay phone",Communication devices
공통점,"common feature, commonality, common ground",Shared characteristics
공책,notebook,School supplies
공항,airport,Travel
공휴일,"legal holiday, national holiday",Holidays
공통되다,to be common,Adjectives (형용사)
과,"illusion, fantasy",Magic
공평하다,"to be fair, just, even-handed, impartial",Ethics and Morality.
공짜,"helmet, safety hat",Clothing or Accessories.
공허한,hollow,Adjectives describing emotions or feelings
과거,past,Time periods
과거 시제,section / district,Language essentials
과두정,touch / reach,ERROR: 'NoneType' object has no attribute 'strip'
과도하다,five,Numbers
과들루프,answer,Fruits.
과로,two,Numbers
과목,land / ground,Nature
과시하다,forty,Numbers
과다,square (4 sided shape),Shapes
과음하다,will stay,Drinking habits
과외,stay,Education
과일,stay (present),Fruits
과수원,excellent,Positive Adjectives
과식하다,speak (honorific),Respectful Actions.
과장님,stayed (past),Workplace positions
과장하다,plan / inside a room,Exaggeration
과정,three,Numbers
과제,thirty,Numbers.
과하다,three,Numbers
과학자,ten,Professions.
과학,fifty,Numbers
과학적 방법론,young (present),Education
관계,young,Family relations
관객,was young (past),Adjectives describing people
과학 소설,twenty,Numbers
과학적,nine,Numbers
관광객,eight,Numbers
관리비,sixty,Numbers
관광지,six,Numbers
관람,ten,Numbers
관리자,six,Numbers
관리실,five,Numbers
관광,will be young,Travel destinations
관습,two,Numbers
관리,eleven,Numbers
광고,half,Time periods
관점,king / wage,Job titles
관심,seven,"Numbers (as ""seven"" is being used as a clue for the initial sound ""ㄱ"")"
광석,kilogram,Units of measurement
광물,seven,Numbers
광학,optics,Science
광자,eight,Numbers
괴담,ghost story,Horror
괴로운,bitter,Emotions
괴롭혀요,"to harass, annoy, trouble",Negative behaviors
광장,one,Numbers
광합성,photosynthesis,Science - Biology
괴롭힐 거예요,"to harass, annoy, trouble",Negative Behaviors
괴롭혔어요,"to harass, annoy, trouble",Negative behaviors
괴물,"monster, freak",Halloween costumes
교과목,sushi,Food
괴롭히다,"to harass, annoy, trouble",Negative Actions
굉장히,in-flight meal,Travel and Transportation
교무실,"faculty office, teacher's office",School rooms/locations
교만한,proud,Personality traits
교과서,textbook,School supplies.
교문,school gate,School landmarks
교대,"rotation, shift, alternation, take turns, relief",Work Schedule or Shift Rotation
교복,school uniform,Education
교사,"price, cost, value",Economics
교수,hallway,School places
교실,ID card,School Supplies
교양,"cultured, sophistication, refinement",Education and Etiquette
교육,"education, training, schooling",School subjects
교재,"teaching materials, textbook",Education
교토 시,Kyoto,Cities
괜히,"in vain, pointlessly, for nothing, needlessly",Futility
교포,ethnic Korean living abroad,Diaspora
교장,purchase,Shopping
교환하다,"to exchange, trade, swap",Commerce and Business
구글,Google,Internet Companies
교환학생,exchange student,Education
구경하다,rhinoceros,Animals
교회,church,Places of Worship
구,section / district,Location
구두,dress shoes,Footwear
구두쇠,"cheapskate, scrooge, penny pincher",Money/personal finance
구름,cloud,Weather
구급차,ambulance,Emergency Services
구멍,memory,Brain Functions
구박하다,"to ill-treat, mistreat, abuse, be hard on",Negative Behaviors
구석,"notebook, laptop",Electronic devices
구석진 곳,corner,Spatial locations
구석구석,"every nook and corner, everywhere",Location
구분하다,"banishment, exile",Punishment
구매,purchase,Shopping
구슬,"bead, marble",Items in a jewelry box.
구성원,member,Family relations
굉장하다,"to be wonderful, great, marvelous, excellent, awesome",Adjectives describing positivity or greatness
구입하다,to turn right,Driving/navigation.
구별하다,distinguish,"Verbs starting with ""ㄱ"" (g/k)"
구조하다,"to rescue, help, save",Emergency Response
구조,"to decorate, trim, adorn",Interior Design & Decor
구약성서,Old Testament,Religious Texts
구입품,purchase,Shopping
구하다,seek,Seeking or Searching
구체적,"concrete, definite, specific, detailed",Adjectives
구획,compartment,Furniture or Storage
국기,national flag,Countries
국,"soup, nation, country, state",Food & Geography
국가,animal,Countries
국물,"beverage, drink",Food and Drink
국립,national establishment,Government organizations
국내,"inside country, domestic",Country Geography
국민,"the public, people, citizen",Society and Politics
국수,noodles,Food or Cuisine
국자,"ladle, scoop",Kitchen utensils
국적,"nationality, citizenship",Countries
국제,"being international, global",Travel and Countries
국화,"chrysanthemum, national flower",Flowers
국제 연맹,League of Nations,International Organizations
국제적인,international,Countries
국회,"national assembly, congress, parliament",Government institutions
군것질,"eating between meals, snacking",Food and Eating Habits.
군도,archipelago,Geography
군대,"army, military, troops",Professions/Job titles
군인,"military personnel, soldier",Occupations
군사,military,Occupations/professions
군주제,monarchy,Government systems
국제선,"alliance, partnership",International Organizations
군중,"crowd, mass",Large gatherings
굴다,Celsius,Temperature scales
굴뚝,chimney,Household items
굴,oyster,Seafood
굴욕,"humiliation, indignity",Emotions or feelings
굶다,"to starve, go hungry, skip a meal",Food and Eating
굶었어요,"to starve, go hungry, skip a meal",Food and Eating
굽,heel,Body Parts
굶을 거예요,"to starve, go hungry, skip a meal",Food and Eating
궁술,archery,Sports
굶어요,"to starve, go hungry, skip a meal",Food and Hunger
궁전,palace,Royalty
굽는 사람,baker,Occupations
권총,"pistol, hand gun",Weapons
권투,boxing,Sports
궁궐,royal palace,Historical landmarks
권리,right,Law or Legal Terminology.
권유하다,"to advise, suggest, recommend",Giving advice or recommendations
귀가하다,"to go home, come home",Daily Activities
권하다,offer,Suggesting actions
권한,"rights, authority, power",Government and Politics
귀걸이,earring,Accessories
귀고리,earring,Jewelry
귀국하다,to return to one's home country,Travel
귀금속,"jewelry, precious metal",Accessories & Fashion
귀뚜라미,cricket,Insects
귀여워요,to be cute,Adjectives
귀여웠어요,to be cute,Adjectives.
귀엽다,to be cute,Adjectives describing characteristics
귀띔,"hint, tip",Word Associations
귀,"medicine, medical science",Health & Wellness
귀족,duke,Nobility
귀여울 거예요,to be cute,Adjectives describing charms or personalities
귀중하다,"to be precious, valuable, priceless, invaluable",Values and Qualities
귀하,"sir, madam, formal title",Respectful titles
귀하다,"to be noble, rare, precious",Adjectives describing qualities or characteristics.
규모,"scale, scope, systematic plan",Architecture and Construction
규칙,"rule, regulation",Law and Order
균학,mycology,Science
그것의,its,Possessive Pronouns
균형,"balance, equilibrium",Physical Fitness
그네,swings,Playground equipment
균계,fungus,Nature or Biology
귤,"tangerine, mandarin orange",Fruits
그녀,"she, her",Pronouns
그늘,"opinion, view, idea",Thoughts and Beliefs
그래도,"nevertheless, still, however",Contrasting conjunctions
그래요,"to be like that, that way",Confirmations
그런,"that sort of, that kind of, that type of",Demonstratives
그랬어요,"to be like that, that way",Mannerisms or Ways of Speaking
그러니까,"to be out of stock, sold out",Shopping and store vocabulary
그대,younger sister,Family members
그래서,"therefore, so",Conjunctions
그런대로,"tolerably, passably, somehow, such that it is",Adverbs
그럴 거예요,"to be like that, that way",Expressions and Phrases
그럼,"then, sure of, course",Expressions or transitions.
그때,"incompetence, incapable, ineffective",Adjectives describing a lack of ability or skill
그렇다,"to be like that, that way",Adjectives
그렇게,like that,Manner adverbs
그룹,group,Music
그레나다,Grenada,Countries
그레이트배리어리프,Great Barrier Reef,Ocean Landmarks
그를,him,Pronouns
그레이프프루트,grapefruit,Fruits
그릇,rubber shoes,Footwear
그리,"seasoning, condiment",Cooking ingredients
그리고,"and, and then",Conjunctions
그리스 신화,Greek mythology,Mythology
그리스 문자,Greek alphabet,Languages
그만두다,quit,Actions/Verbs
그만하다,"to vote, cast a ballot",Elections
그림자,to go to school,Activities or Routines
그림,"picture, painting, drawing",Artistic Expressions
그물자리,Reticulum,Constellations
그만큼,"that much, to that extent, as much, so much",Intensifiers
그리스도인,Christian,Religion.
그리움,"longing, yearning",Emotions
그의,his,Possessive pronouns
그제,the day before yesterday,Time expressions
그립다,"dressing room, changing room, locker room",Rooms or areas within a building
그저,just,Adverbs
그치다,"to take responsibility, responsible for",Responsibility
그와 같이,so,Adverbs
극장,"theater, movie theater",Entertainment
극피동물,echinoderm,Marine Biology
근로,labor,Occupations & Work
근시,"nearsightedness, short sighted",Vision Problems
글,cup,Dishes/Utensils
근처,"nearby, vicinity, neighborhood",Location
근무,towel,Bathroom items
근육,muscle,Anatomy
글자,"owner, employer, landlord",Authority figures
글래스고,Glasgow,Cities
금년,winter,Seasons
금고,safe,Security devices or items
극찬,"high praise, compliment",Positive Adjectives
글씨,handwriting,Writing Tools
금,"religion, faith",Religious symbols and concepts
금발,blonde hair,Hair colors
근로자,workers,Occupations
금반지,gold ring,Jewelry
그저께,day before yesterday,Timeframes
금붕어,goldfish,Aquatic Animals
금속,metal,Materials
금성,Venus,Planets
금액,amount of money,Money
금융,"finance, banking",Business and Economics
금속공학,metallurgy,Engineering
금요일,Friday,Days of the Week
금연석,non-smoking section,Restaurant features
금품,money and valuables,Wealth and possessions
급속히,"to appear, make an appearance",Speed & Movement
금연,"smoking prohibited, no smoking",Healthy habits or Resolutions
기,flag,National Flags
기간,"the day, week, month, etc. before last",Time intervals
급히,candlelight,Emergency Items
급행열차,express train,Transportation
급료,to wink,Body movements or gestures
기계,instrument,Musical instruments
기계공학,mechanical engineering,Engineering.
기관,"success, succeed",Achievement
기교,technique,Skills and Abilities
기껏,"to the best of one's ability, as much as one can, at most",Effort or Perseverance
기내식,in-flight meal,Travel
기념,"commemoration, memory, celebration",Special Events
기관지염,bronchitis,Illnesses
기념품,souvenir,Travel or Tourism
기념일,anniversary,Special Occasions
기다려요,to wait,Actions/Verbs
기다리다,to wait,Actions or Verbs
기다렸어요,to wait,Actions or Verbs.
기도하다,"to be satisfied, pleased, content",Emotions or Feelings
기다릴 거예요,to wait,Actions
기말시험,final exam,Education
근친상간,incest,Taboo topics
기러기,wild goose,Animals
기린,giraffe,Animals
기록하다,"to order, place an order",Verb actions
기르다,"silence, become silent, say nothing",Behavior or Actions
기름,skirt,Clothing.
기본적,"basic, fundamental",Education
기분,"contents, substance, details, message",Emotions
기모노,kimono,Clothing
금지하다,"to prohibit, ban",Rules and Regulations
기본형,"manager, administrator",Occupations
기분 좋은,cheerful,Emotions
기사,"insect, bug",Insects
기뻐하다,"to be cozy, comfortable, warm, snug",Emotions and Feelings
기숙사,dormitory,Living arrangements
기상학,meteorology,Weather & Nature
기생 동물,parasite,Insects/Animals
기억,memory,Brain functions
기압계,barometer,Weather instruments
기억하다,to remember,Memory-related terms
기세,"spirit, force",Power and Energy
기어이,"in the end, no matter what, without fail",Persistence/Perseverance
기운,"hair pin, hair clip, bobby pin",Hair accessories.
기온,umbrella,Weather
기와집,tile-roofed house,House types
기자,"reporter, journalist, editor",Occupations
기저귀,diaper,Baby items
기이하다,"to be strange, odd, weird, bizarre",Adjectives
기업,mailman,Professions
기절하다,"to faint, pass out",Health或Medical.
기적,"caution, beware of, careful","Words related to ""miracles"""
기죽다,"to be discouraged, down",Emotions
기웃기웃,"peeping, snooping, peek",Observing or Spying
기준,"standard, criteria, basis",Measurement and Evaluation
기차,yellow,Colors
기차역,train station,Transportation
기중기,crane,Construction Machinery
기죽어요,"to be discouraged, down",Emotions or feelings
기초,"to bargain, haggle over terms, negotiate",Shopping
기침하다,cough,Health or Illness.
기침,cough,Health & Wellness
기죽을 거예요,"to be discouraged, down",Emotions/Feelings
기하학,geometry,Mathematics
기호,"doll, puppet, figure",Toys
기회,"chance, opportunity, time",Luck or Fortune.
기후,climate,Weather & Environment
기타,guitar,Musical Instruments
긴장감,selfish,Negative Traits
긴 양말,stocking,Clothing
기후학,climatology,Science - Meteorology
긴하다,"to be important, urgent, essential",Priority or Urgency
길,"red, crimson, scarlet",Colors
길 거예요,to be long,Length/Size
길가,"roadside, side of the street",Location/Places
길거리,"street, road",City Life
길가메쉬,Gilgamesh,Mythology
김치,kimchi,Korean Foods
김장,kimchi prepared for winter,Food & Cooking
길어요,to be long,Length.
기죽었어요,"to be discouraged, down",Emotions or feelings
길었어요,to be long,Adjectives
길이,Korean restaurant,Food
까마귀,crow,Birds
까만색,black,Colors
까치,magpie,Birds
깊이,"only, solely, exclusively, just",Adverbs
김치전,kimchi pancake,Korean Food
까다,restoration to the original state,Repair and Fixing
길다,to be long,Adjectives.
까맣다,pitcher,Baseball Positions
깎다,workbook,School supplies
깎아요,workbook,Education
깎았어요,workbook,School supplies
깎을 거예요,workbook,School supplies
깔때기,funnel,Kitchen utensils
