clue,explanation,answer,url
羊下有一人,提示：“羊下有一人”指的是“羊”笔画下面有“一人”，组成“美”。,美,https://www.wwyulu.com/read/158356.html
两火在说话,提示：“两火”指的是两个“火”字，即“火火”。“说话”即“言”之意，“言”理解为言字旁“讠”。,谈,https://www.wwyulu.com/read/158355.html
恐龙在广场,提示：“恐龙在广场”指的是“龙”与“广”调整笔画，组成“庞”。,庞,https://www.wwyulu.com/read/158354.html
孩子在吃瓜,提示：“孩子在吃瓜”指的是“子”与“瓜”调整笔画，组成“孤”。,孤,https://www.wwyulu.com/read/158353.html
月亮有危险,提示：“月亮有危险”指的是“月”与“危”调整笔画，组成“脆”。,脆,https://www.wwyulu.com/read/158352.html
林的一半不是木,提示：“林的一半”指的是“林的”笔画一半，取“木白”。,柏,https://www.wwyulu.com/read/158351.html
手提三斤水,提示：“手”理解为提手旁“扌”。“斤”明扣。“水”理解为三点水“氵”。,浙,https://www.wwyulu.com/read/158350.html
和尚儿子在,提示：“和尚儿子在”指的是“尚”与“儿”调整笔画，组成“党”字。,党,https://www.wwyulu.com/read/158349.html
孙子走了，儿子来了,提示：“孙子走了”指的是“孙”笔画“子”去掉，剩下“小”。“子”明扣。,孙,https://www.wwyulu.com/read/158348.html
戒毒后容貌方变,提示：“戒毒后”指的是“毒”笔画后面部分去掉，剩下“三丨”。“容”明扣。“方”理解为方格，形状为“口”。,豁,https://www.wwyulu.com/read/158342.html
一口吃掉两个日,提示：“口”明扣。“两个日”指的是两个“日”字，即“日日”，“日日”相连，组成“目”。,囬,https://www.wwyulu.com/read/158308.html
苦头跑了，明跑了月,提示：“苦头跑了”指的是“苦”笔画头部去掉，剩下“口”。“明跑了月”指的是“明”笔画去掉“月”，剩下“日”。,口日,https://www.wwyulu.com/read/158307.html
七日多一撇,提示：“七日”明扣。“撇”符号为“丿”。,皂,https://www.wwyulu.com/read/158306.html
西下有女，明走一日,提示：“西”“女”明扣。“明走一日”指的是“明”去掉“日”，剩下“月”。,腰,https://www.wwyulu.com/read/158305.html
一旦落后心态变,提示：“一旦”明扣。“心”理解为竖心旁“忄”。,恒,https://www.wwyulu.com/read/158294.html
将言辞说上,提示：“言”理解为言字旁“讠”。“上”明扣。,让,https://www.wwyulu.com/read/158244.html
变动之后再组合,提示：“变动之后再组合”指的是“变动”笔画后面部分，为“又力”，“又力”调整笔画，组成“劝”。,劝,https://www.wwyulu.com/read/158242.html
花草走了，木走一人,提示：“草”理解为草字头“艹”；“花草走了”指的是“花”的“艹”去掉，剩下“化”。“木走一人”指的是“木”笔画“人”去掉，剩下“十”。,华,https://www.wwyulu.com/read/158220.html
天丢了一，字没了帽,提示：“天丢了一”指的是“天”笔画的“一”全部去掉，剩下“人”，“人”理解为单人旁“亻”。“帽”指的是帽子，形状为“宀”；“字没了帽”指的是“字”去掉“宀”，剩下“子”。,仔,https://www.wwyulu.com/read/158219.html
十对十，日对月,提示：“十对十”指的是“十”与“十”相连，组成“艹”。“日”“月”明扣。“十对十，日对月”指的是“十”“十”“日”“月”组成“朝”字。,萌/朝,https://www.wwyulu.com/read/158218.html
轰下一半，小心一点,提示：“轰下”指的是“轰”笔画下面部分，为“双”；“轰下一半”指的是“双”笔画一半，为“又”。“点”符号为“、”。,叉,https://www.wwyulu.com/read/158217.html
大米青菜一起吞,提示：“大米青菜一起吞”指的是“米”与“青”在一起，组成“精”。,精,https://www.wwyulu.com/read/158216.html
西下一女，一月来,提示：“西下一女，一月来”指的是“西”“女”与“月”组成“腰”字。,腰,https://www.wwyulu.com/read/158215.html
犁跑了牛，样跑了羊,提示：“犁跑了牛”指的是“犁”笔画去掉“牛”，剩下“利”。“样跑了羊”指的是“样”笔画“羊”去掉，剩下“木”。,梨,https://www.wwyulu.com/read/158214.html
大少一横，会云走了,提示：“横”符号为“一”；“大少一横”指的是“大”笔画少了“一”，剩下“人”。“会云走了”指的是“会”笔画“云”走了，剩下“人”。,从,https://www.wwyulu.com/read/158213.html
梅走了每，乔走了人,提示：“梅走了每”指的是“梅”去掉“每”，剩下“木”。“乔走了人”指的是“乔”去掉“人”，剩下“开”。,枅,https://www.wwyulu.com/read/158212.html
一口吞下十个日,提示：“田”笔画外面为“口”，里面为“十”。“田”笔画由“日”“丨”组成。,田,https://www.wwyulu.com/read/158211.html
千里连土，土连田,提示：“千里连土，土连田”指的是“千”“土”“田”调整笔画，组成“重”。,重,https://www.wwyulu.com/read/158210.html
心有悲哀口难开,提示：“心有悲”反过来理解就是“悲”笔画“心”没有，剩下“非”。“哀口难开”指的是“哀”笔画去掉“口”，剩下“衣”。,裴,https://www.wwyulu.com/read/158177.html
失聪,提示：“失聪”与耳朵有关，取“关耳”，“关耳”组成“朕”字。,联,https://www.wwyulu.com/read/158164.html
中国达人携手出点子,提示：“中国”指的是“国”笔画中间部分，为“玉”。“人”明扣。“手”理解为提手旁“扌”。“点”符号为“、”。“中国达人携手出点子”指的是“玉”笔画“、”出去，剩下“王”，“王”与“人”“扌”调整笔画，组成“拴”。,拴,https://www.wwyulu.com/read/158150.html
一万个口,提示：“一万个口”指的是“一万”与“口”调整笔画，组成“吾”。,吾,https://www.wwyulu.com/read/158148.html
孙子走了，天少一人,提示：“孙子走了”理解为“孙”笔画“子”去掉，剩下“小”。“天少一人”指的是“天”笔画少了“人”，剩下“二”。二+小=示。,示,https://www.wwyulu.com/read/158147.html
李走了木，夫丢了二,提示：“李走了木”指的是“李”去掉“木”，剩下“子”。“夫丢了二”指的是“夫”笔画去掉“二”，剩下“人”，“人”理解为单人旁“亻”。,仔,https://www.wwyulu.com/read/158146.html
田上有一人,提示：谜面中的“田”与“一人”组成“奋”。,奋,https://www.wwyulu.com/read/158145.html
连雨天,提示：“雨”指的是雨水，扣“水”，“水”理解为三点水“氵”。“天”明扣。,沃,https://www.wwyulu.com/read/158144.html
一日走千里,提示：谜面中的“一日”“里”组成“量”。,量,https://www.wwyulu.com/read/158143.html
葱姜各用一半,提示：“葱姜各用一半”指的是“葱姜”笔画各取一半，分别取“心”“丷王”。,恙,https://www.wwyulu.com/read/158142.html
狗丢了句，禾苗来了,提示：“狗丢了句”指的是“狗”笔画丢了“句”，剩下“犭”。“苗”明扣。苗+犭=猫。,猫,https://www.wwyulu.com/read/158141.html
早晨下雨，没有太阳,提示：“太阳”即“日”之意。“早晨下雨，没有太阳”指的是“晨”笔画没有“日”，剩下“辰”，“辰”与“雨”，组成“震”。,震,https://www.wwyulu.com/read/158140.html
两人两口,提示：“两人”理解为双人旁“彳”。“两口”指的是两个“口”字，即“口口”。,徊,https://www.wwyulu.com/read/158139.html
和老王在一起,提示：谜面中的“和”与“王”调整笔画，组成“程”字。,程,https://www.wwyulu.com/read/158138.html
两人一耳,提示：“两人”指的是两个“人”字，即“人人”。“耳”明扣。,耸,https://www.wwyulu.com/read/158137.html
上海没有一滴水,提示：“一滴水”的形状为“、”；“上海没有一滴水”指的是“海”笔画的“、”都没有，剩下“每”。,每,https://www.wwyulu.com/read/158136.html
爸走了巴，卫丢了一,提示：“爸走了巴”指的是“爸”笔画去掉“巴”，剩下“父”。“卫丢了一”指的是“卫”笔画去掉“一”，剩下“ㄗ”。ㄗ+父=爷。,爷,https://www.wwyulu.com/read/158135.html
妇女没来，雨来了,提示：“妇女没来”指的是“妇”笔画“女”去掉，剩下“彐”。“雨”明扣。雨+彐=雪。,雪,https://www.wwyulu.com/read/158134.html
三人不是众,提示：“人”理解为单人旁“亻”。“三”明扣。三+亻=仨。“不是众”排除谜底为“众”。,仨,https://www.wwyulu.com/read/158133.html
古上站一人,提示：“古上站一人”指的是“古”笔画上面有“一人”，组成“舍”字。,舍,https://www.wwyulu.com/read/158132.html
村庄寸土不留,提示：“村庄寸土不留”指的是“村庄”笔画去掉“寸土”，剩下“木广”，“木广”调整笔画，组成“床”字。,床,https://www.wwyulu.com/read/158131.html
春走三人，生牛走了,提示：“春走三人”指的是“春”笔画去掉“三人”，剩下“日”。“生牛走了”指的是“生”笔画“牛”去掉，剩下“一”。一+日=旦。,旦,https://www.wwyulu.com/read/158130.html
大姐的大加三笔,提示：“大”明扣。“三笔”指的是竖着的“三”，为“川”。川+大=夼。,夼,https://www.wwyulu.com/read/158129.html
儿子先入党,提示：“子”明扣。“先入党”指的是“党”笔画前面部分，为“龸”。龸+子=学。,学,https://www.wwyulu.com/read/158128.html
广场的广加一笔,提示：“广”“一”明扣。“加”指的是加号，符号为“十”。广+一+十=庄。,庄,https://www.wwyulu.com/read/158127.html
李一半，付一半,提示：“李一半”指的是“李”笔画一半，取“木”。“付一半”指的是“付”笔画一半，取“亻”或“寸”。亻+木=休。寸+木=村。,村/休,https://www.wwyulu.com/read/158079.html
七人坐在十上面,提示：“人”理解为单人旁“亻”。“七”“十”明扣。,华,https://www.wwyulu.com/read/158076.html
尼姑的头，和尚的脚,提示：“尼姑的头”指的是“尼”笔画头部，为“尸”。“和尚的脚”指的是“尚”笔画底部，为“冂口”。,局,https://www.wwyulu.com/read/158075.html
一斤少条腿，再送一张嘴,提示：“腿”形状为“丨”；“一斤少条腿”指的是“斤”笔画少了“丨”。“嘴”即“口”之意。,后,https://www.wwyulu.com/read/158074.html
石头出头，不是右,提示：“不是右”指的是谜底不是“右”字。“石”明扣。“出头”指的是“出”笔画头部，为“山”。,古,https://www.wwyulu.com/read/158073.html
有心抽烟，没有火,提示：“心”明扣。“烟，没有火”指的是“烟”笔画“火”去掉，剩下“因”。,恩,https://www.wwyulu.com/read/158072.html
犁：牛跑了，样：羊跑了,提示：“犁：牛跑了”指的是“犁”笔画去掉“牛”，剩下“利”。“样：羊跑了”指的是“样”笔画“羊”去掉，剩下“木”。,梨,https://www.wwyulu.com/read/158071.html
李没了木，宝没了玉,提示：“李没了木”指的是“李”笔画去掉“木”，剩下“子”。“宝没了玉”指的是“宝”笔画去掉“玉”，剩下“宀”。,字,https://www.wwyulu.com/read/158070.html
朱德的朱，减三笔,提示：“朱德的朱，减三笔”指的是“朱”笔画去掉三笔，剩下“小”。,小,https://www.wwyulu.com/read/158069.html
毛巾的巾加两笔,提示：,市、布、帅、匝和帄,https://www.wwyulu.com/read/158068.html
女子姓米，十八岁,提示：谜面中的“女”“米”“十八”调整笔画，组成“楼”。,楼,https://www.wwyulu.com/read/158067.html
一半粗，一半细,提示：“一半粗”指的是“粗”笔画一半，取“且”。“一半细”指的是“细”笔画一半，取“纟”。,组,https://www.wwyulu.com/read/158066.html
两滴水，压倒一座山,提示：“两滴水”形状为“、、”。“压倒一座山”指的是“一”“山”笔画倒着，变成“丨彐”。,当,https://www.wwyulu.com/read/158063.html
孙：子跑了，天：人跑了,提示：“孙：子跑了”指的是“孙”笔画去掉“子”，剩下“小”。“天：人跑了”指的是“天”笔画去掉“人”，剩下“二”。,示,https://www.wwyulu.com/read/158062.html
