clue,explanation,answer,url
Urgent demands ultimately introducing temporary accommodation providing housing for free (8),' urgent ' is the definition.  ' demands ultimately introducing temporary accommodation providing housing for free ' is the wordplay. ' ultimately ' says to take the final letters. ' introducing ' says to put letters next to each other. ' temporary accommodation ' becomes ' tent '  . ' providing housing for ' means one lot of letters goes inside another (some letters house other letters within them) . ' free ' becomes ' rid ' ('rid' can be a synonym of 'free'**) . The final letter of ' demand s ' is ' s '. ' tent ' placed around ' rid ' is ' trident '. ' s '+' trident '=' STRIDENT ',strident,https://www.crosswordgenius.com/clue/urgent-demands-ultimately-introducing-temporary-accommodation-providing-housing-for-free
He raises game in early edition of programme on radio (6),' he raises game ' is the definition. (person who raises game birds for shooting) ' early edition of programme on radio ' is the wordplay. ' early edition of programme ' becomes ' beta ' (as in a beta version of software) . ' on radio ' shows a homophone (sound like). ' beta ' sounds like ' BEATER '. ' in ' acts as a link.,beater,https://www.crosswordgenius.com/clue/he-raises-game-in-early-edition-of-programme-on-radio
Show charge orbiting an electron (8),' show ' is the definition. ('indicate' can be a synonym of 'show') ' charge orbiting an electron ' is the wordplay. ' charge ' becomes ' indict ' (indicting is a kind of charging) . ' orbiting ' means one lot of letters goes inside another. ' an ' becomes ' a '. ' electron ' becomes ' e ' (abbreviation in physics) . ' indict ' going around ' a ' is ' indicat '. ' indicat '+' e '=' INDICATE ',indicate,https://www.crosswordgenius.com/clue/show-charge-orbiting-an-electron
Man put out about recollection of my crucial part in hearing (8),' crucial part in hearing ' is the definition. (part of the ear) ' man put out about recollection of my ' is the wordplay. ' out ' indicates anagramming the letters (out can mean wrong or inaccurate) . ' about ' indicates putting letters inside. ' recollection of ' says the letters should be written backwards (recollect letters in the opposite direction) . ' my ' reversed gives ' ym '. ' man '+' put '=' manput ' ' manput ' with letters rearranged gives ' tpanum '. ' tpanum ' enclosing ' ym ' is ' TYMPANUM '.,tympanum,https://www.crosswordgenius.com/clue/man-put-out-about-recollection-of-my-crucial-part-in-hearing
Firm support for driver's seat (6),' seat ' is the definition.  ' firm support for driver's ' is the wordplay. ' firm ' becomes ' set '  . ' support for driver ' becomes ' tee ' (driver is a type of golf club) . ' set '+' tee '=' SETTEE ',settee,https://www.crosswordgenius.com/clue/firm-support-for-drivers-seat
Huge deficit beginning to accumulate in depression (8),' huge ' is the definition. ('colossal' can be a synonym of 'huge') ' deficit beginning to accumulate in depression ' is the wordplay. ' deficit ' becomes ' loss '  . ' beginning to ' says to take the initial letters. ' in ' is an insertion indicator. ' depression ' becomes ' col ' (geographical term for a low point) . The first letter of ' a ccumulate ' is ' a '. ' loss '+' a '=' lossa ' ' lossa ' inserted inside ' col ' is ' COLOSSAL '.,colossal,https://www.crosswordgenius.com/clue/huge-deficit-beginning-to-accumulate-in-depression
Cross-party members caught in the middle of voters (8),' cross ' is the definition. ('traverse' can be a synonym of 'cross') ' party members caught in the middle of voters ' is the wordplay. ' party members ' becomes ' ravers '. ' caught in ' is an insertion indicator. ' the middle of ' indicates the central letters. The middle letters of ' vo te rs ' are ' te '. ' ravers ' placed inside ' te ' is ' TRAVERSE '.,traverse,https://www.crosswordgenius.com/clue/crossparty-members-caught-in-the-middle-of-voters
On-line diatribe by grown-up debasing agent (10),"' debasing agent ' is the definition. ' on-line diatribe by grown-up ' is the wordplay. ' on-line ' becomes ' e ' (abbreviation for electronic, e.g. in ecommerce) . ' diatribe ' becomes ' rant '  . ' by ' is a charade indicator (letters next to each other). ' grown up ' becomes ' adult '  . ' e '+' rant '=' erant ' ' erant ' put after ' adult ' is ' ADULTERANT '.",adulterant,https://www.crosswordgenius.com/clue/online-diatribe-by-grownup-debasing-agent
Declines to overlook official applications (4),"' applications ' is the definition.  ' declines to overlook official ' is the wordplay. ' declines ' becomes ' refuses ' ('refuse' can be a synonym of 'decline') . ' to overlook ' indicates named letters should be taken away. ' official ' becomes ' ref ' (match official in football, say) . ' refuses ' with ' ref ' removed is ' USES '.",uses,https://www.crosswordgenius.com/clue/declines-to-overlook-official-applications
No fighting now - start to consider calm following fury (9),' no fighting now ' is the definition. ' start to consider calm following fury ' is the wordplay. ' start to ' suggests taking the first letters. ' calm ' becomes ' ease '  . ' following ' becomes ' f ' (used when citing page numbers etc**) . ' fury ' becomes ' ire '  . The initial letter of ' c onsider ' is ' c '. ' c '+' ease '+' f '+' ire '=' CEASEFIRE ',ceasefire,https://www.crosswordgenius.com/clue/no-fighting-now-start-to-consider-calm-following-fury
Crisis memo elaborated minor earthquake (10),' minor earthquake ' is the definition. ' crisis memo elaborated ' is the wordplay. ' elaborated ' is an anagram indicator. ' crisis '+' memo '=' crisismemo ' ' crisismemo ' anagrammed gives ' MICROSEISM '.,microseism,https://www.crosswordgenius.com/clue/crisis-memo-elaborated-minor-earthquake
On-line diatribe by grown-up debasing agent (10),"' debasing agent ' is the definition. ' on-line diatribe by grown-up ' is the wordplay. ' on-line ' becomes ' e ' (abbreviation for electronic, e.g. in ecommerce) . ' diatribe ' becomes ' rant '  . ' by ' is a charade indicator (letters next to each other). ' grown up ' becomes ' adult '  . ' e '+' rant '=' erant ' ' erant ' put after ' adult ' is ' ADULTERANT '.",adulterant,https://www.crosswordgenius.com/clue/online-diatribe-by-grownup-debasing-agent
Declines to overlook official applications (4),"' applications ' is the definition.  ' declines to overlook official ' is the wordplay. ' declines ' becomes ' refuses ' ('refuse' can be a synonym of 'decline') . ' to overlook ' indicates named letters should be taken away. ' official ' becomes ' ref ' (match official in football, say) . ' refuses ' with ' ref ' removed is ' USES '.",uses,https://www.crosswordgenius.com/clue/declines-to-overlook-official-applications
No fighting now - start to consider calm following fury (9),' no fighting now ' is the definition. ' start to consider calm following fury ' is the wordplay. ' start to ' suggests taking the first letters. ' calm ' becomes ' ease '  . ' following ' becomes ' f ' (used when citing page numbers etc**) . ' fury ' becomes ' ire '  . The initial letter of ' c onsider ' is ' c '. ' c '+' ease '+' f '+' ire '=' CEASEFIRE ',ceasefire,https://www.crosswordgenius.com/clue/no-fighting-now-start-to-consider-calm-following-fury
Crisis memo elaborated minor earthquake (10),' minor earthquake ' is the definition. ' crisis memo elaborated ' is the wordplay. ' elaborated ' is an anagram indicator. ' crisis '+' memo '=' crisismemo ' ' crisismemo ' anagrammed gives ' MICROSEISM '.,microseism,https://www.crosswordgenius.com/clue/crisis-memo-elaborated-minor-earthquake
Revealed by stance adopted by editor (7),' revealed ' is the definition. (exposing is a kind of revealing) ' by stance adopted by editor ' is the wordplay. ' by ' becomes ' x ' (multiplication sign) . ' stance ' becomes ' pose '. ' adopted by ' is an insertion indicator  . ' editor ' becomes ' ed '. ' x '+' pose '=' xpose ' ' xpose ' put inside ' ed ' is ' EXPOSED '.,exposed,https://www.crosswordgenius.com/clue/revealed-by-stance-adopted-by-editor
Nationalist group (not large) kept in touch (7),' nationalist ' is the definition. ('patriot' can be a synonym of 'nationalist') ' group not large kept in touch ' is the wordplay. ' group not large ' becomes ' trio ' (term for a small group) . ' kept in ' indicates putting letters inside. ' touch ' becomes ' pat ' (pat is a kind of touch) . ' trio ' put within ' pat ' is ' PATRIOT '.,patriot,https://www.crosswordgenius.com/clue/nationalist-group-not-large-kept-in-touch
I overacted wildly to no real purpose? (10),' to no real purpose? ' is the definition. ' i overacted wildly ' is the wordplay. ' wildly ' indicates anagramming the letters. ' i '+' overacted '=' ioveracted ' ' ioveracted ' with letters rearranged gives ' DECORATIVE '.,decorative,https://www.crosswordgenius.com/clue/i-overacted-wildly-to-no-real-purpose
Equestrian competition unfinished still (4),' still ' is the definition. ('even' can be a synonym of 'still') ' equestrian competition unfinished ' is the wordplay. ' equestrian competition ' becomes ' event '. ' unfinished ' means to remove the last letter. ' even t ' with its last letter removed is ' EVEN '.,even,https://www.crosswordgenius.com/clue/equestrian-competition-unfinished-still
Lethal error I overlooked - ingesting astatine (5),' lethal ' is the definition. ('fatal' can be similar in meaning to 'lethal') ' error i overlooked ingesting astatine ' is the wordplay. ' error ' becomes ' fail '. ' overlooked ' indicates named letters should be taken away. ' ingesting ' is an insertion indicator. ' astatine ' becomes ' at ' ('At' can be a synonym of 'astatine') . ' fail ' with ' i ' taken out is ' fal '. ' fal ' enclosing ' at ' is ' FATAL '.,fatal,https://www.crosswordgenius.com/clue/lethal-error-i-overlooked-ingesting-astatine
Single call to arms not entirely hard to deliver? (7),' hard to deliver? ' is the definition. ' single call to arms not entirely ' is the wordplay. ' single ' becomes ' one '  . ' call to arms ' becomes ' rouse '. ' not entirely ' means to remove the last letter. ' rous e ' with its final letter removed is ' rous '. ' one '+' rous '=' ONEROUS ',onerous,https://www.crosswordgenius.com/clue/single-call-to-arms-not-entirely-hard-to-deliver
New fiddle not seeing debut in gentle movement (5),' gentle movement ' is the definition. ' new fiddle not seeing debut ' is the wordplay. ' new ' becomes ' n '. ' fiddle ' becomes ' fudge ' (both can mean to scam) . ' not seeing debut ' means to remove the first letter. ' f udge ' with its first letter removed is ' udge '. ' n '+' udge '=' NUDGE ' ' in ' acts as a link.,nudge,https://www.crosswordgenius.com/clue/new-fiddle-not-seeing-debut-in-gentle-movement
Cactus very much requiring intervention of a protector? Not entirely (7),' cactus ' is the definition. (saguaro is a kind of cactus) ' very much requiring intervention of a protector? not entirely ' is the wordplay. ' very much ' becomes ' so '. ' requiring intervention of ' indicates putting letters inside. ' protector? ' becomes ' guard ' (guard is a kind of protector) . ' not entirely ' means to remove the last letter. ' a '+' guard '=' aguard ' ' aguar d ' with its final letter taken off is ' aguar '. ' so ' going around ' aguar ' is ' SAGUARO '.,saguaro,https://www.crosswordgenius.com/clue/cactus-very-much-requiring-intervention-of-a-protector-not-entirely
Fish dish? I miss a fish’s tail in a stew (7),' fish dish? ' is the definition.  ' i miss a fish's tail in a stew ' is the wordplay. ' tail ' indicates one should take the final letters. ' in a stew ' is an anagram indicator. The final letter of ' fis h ' is ' h '. ' i '+' miss '+' a '+' h '=' imissah ' ' imissah ' is an anagram of ' SASHIMI '.,sashimi,https://www.crosswordgenius.com/clue/fish-dish-i-miss-a-fishs-tail-in-a-stew
Turned up to get rice dished out - promise to turn up again? (11),' promise to turn up again? ' is the definition. (Italian word for 'until we see each other again') ' turned up to get rice dished out ' is the wordplay. ' turned up ' becomes ' arrived '. ' to get ' says to put letters next to each other. ' dished out ' is an anagram indicator. ' rice ' anagrammed gives ' erci '. ' arrived '+' erci '=' ARRIVEDERCI ',arrivederci,https://www.crosswordgenius.com/clue/turned-up-to-get-rice-dished-out-promise-to-turn-up-again
Crowd in rear of cafe accordingly getting coffee (8),' coffee ' is the definition. (espresso is a kind of coffee) ' crowd in rear of cafe accordingly ' is the wordplay. ' crowd ' becomes ' press ' (press is a kind of crowd**) . ' in ' is an insertion indicator. ' rear of ' indicates one should take the final letters. ' accordingly ' becomes ' so ' ('so' can be a synonym of 'accordingly') . The final letter of ' caf e ' is ' e '. ' e '+' so '=' eso ' ' press ' inserted into ' eso ' is ' ESPRESSO '. ' getting ' is the link.,espresso,https://www.crosswordgenius.com/clue/crowd-in-rear-of-cafe-accordingly-getting-coffee
Unusually harsh cement used around Olympic venue (11),' unusually harsh ' is the definition. ' cement used around olympic venue ' is the wordplay. ' cement ' becomes ' mastic ' (mastic is a kind of cement) . ' used around ' is an insertion indicator. ' olympic venue ' becomes ' sochi ' (Winter Olympics host city) . ' mastic ' enclosing ' sochi ' is ' MASOCHISTIC '.,masochistic,https://www.crosswordgenius.com/clue/unusually-harsh-cement-used-around-olympic-venue
Work during holiday leading to a disturbance (4-2),' disturbance ' is the definition. ' work during holiday leading to a ' is the wordplay. ' work ' becomes ' op ' (abbreviation for opus**) . ' during ' is an insertion indicator. ' holiday ' becomes ' hol ' (short for holiday) . ' leading to ' means one lot of letters go next to another (some letters go before or lead others) . ' op ' inserted inside ' hol ' is ' hoopl '. ' hoopl '+' a '=' HOOP-LA ',hoop-la,https://www.crosswordgenius.com/clue/work-during-holiday-leading-to-a-disturbance
Tense pressure applied to soldiers in focus of operations (7),' focus of operations ' is the definition. (location for surgical operations) ' tense pressure applied to soldiers ' is the wordplay. ' tense ' becomes ' t ' (abbreviation used in many dictionaries) . ' pressure ' becomes ' heat '  . ' applied to ' means one lot of letters go next to another. ' soldiers ' becomes ' re ' (Royal Engineers) . ' t '+' heat '+' re '=' THEATRE ' ' in ' acts as a link.,theatre,https://www.crosswordgenius.com/clue/tense-pressure-applied-to-soldiers-in-focus-of-operations
Confused conversation I caught about love (7),"' confused ' is the definition. (thesaurus) ' conversation i caught about love ' is the wordplay. ' conversation ' becomes ' chat ' (chat is a kind of conversation) . ' caught ' becomes ' c ' (cricket abbreviation**) . ' about ' indicates putting letters inside. ' love ' becomes ' o ' (In tennis, 'love' means 'zero') . ' chat '+' i '+' c '=' chatic ' ' chatic ' enclosing ' o ' is ' CHAOTIC '.",chaotic,https://www.crosswordgenius.com/clue/confused-conversation-i-caught-about-love
Degree of spirit regarding publicity shown in check for errors (9),' check for errors ' is the definition. ' degree of spirit regarding publicity ' is the wordplay. ' degree of spirit ' becomes ' proof ' (term for the strength of an alcoholic spirit) . ' regarding ' becomes ' re '. ' publicity ' becomes ' ad ' (advert) . ' proof '+' re '+' ad '=' PROOFREAD ' ' shown in ' is the link.,proofread,https://www.crosswordgenius.com/clue/degree-of-spirit-regarding-publicity-shown-in-check-for-errors
Points to copy when taken on by chartered surveyor (5),' points ' is the definition. (a cape is a type of geographical point) ' copy when taken on by chartered surveyor ' is the wordplay. ' copy ' becomes ' ape ' ('ape' can be a synonym of 'copy') . ' when taken on by ' is an insertion indicator. ' chartered surveyor ' becomes ' cs ' (abbreviation for chartered surveyor) . ' ape ' inserted inside ' cs ' is ' CAPES '. ' to ' is the link.,capes,https://www.crosswordgenius.com/clue/points-to-copy-when-taken-on-by-chartered-surveyor
Thought money off did apply (4),' did apply ' is the definition. ('use' can be a synonym of 'apply') ' thought money off ' is the wordplay. ' thought ' becomes ' mused ' (musing is a kind of thinking) . ' money ' becomes ' m ' (abbreviation in economics) . ' off ' is a deletion indicator. ' mused ' with ' m ' taken out is ' USED '.,used,https://www.crosswordgenius.com/clue/thought-money-off-did-apply
Dejected having to put up with setter? (7),' dejected ' is the definition.  ' to put up with setter? ' is the wordplay. ' to put up ' becomes ' hang '  . ' with ' says to put letters next to each other. ' setter? ' becomes ' dog ' (a setter is a type of dog) . ' hang '+' dog '=' HANGDOG ' ' having ' is the link.,hangdog,https://www.crosswordgenius.com/clue/dejected-having-to-put-up-with-setter
End up arresting head of state in Communist China (7),' china ' is the definition. (a type of porcelain) ' end up arresting head of state in communist ' is the wordplay. ' up ' is an anagram indicator. ' arresting ' is an insertion indicator. ' head of ' says to take the initial letters. ' in ' means one lot of letters goes inside another. ' communist ' becomes ' red ' (red is a kind of communist**) . The first letter of ' s tate ' is ' s '. ' end ' with letters rearranged gives ' den '. ' s ' inserted inside ' red ' is ' resd '. ' den ' placed around ' resd ' is ' DRESDEN '.,dresden,https://www.crosswordgenius.com/clue/end-up-arresting-head-of-state-in-communist-china
Doctor has pie prepared as medical speciality (12),' medical speciality ' is the definition. The definition suggests a singular noun which matches the answer. ' doctor has pie prepared ' is the wordplay. ' prepared ' is an anagram indicator. ' doctor '+' has '+' pie '=' doctorhaspie ' ' doctorhaspie ' with letters rearranged gives ' ORTHOPAEDICS '. ' as ' acts as a link.,orthopaedics,https://www.crosswordgenius.com/clue/doctor-has-pie-prepared-as-medical-speciality
"Bachelor, single friend, providing skeleton service? (4,5)","' skeleton service? ' is the definition. ' bachelor single friend ' is the wordplay. ' bachelor ' becomes ' b ' (abbreviation e.g. BA=Bachelor of Arts) . ' single ' becomes ' one '  . ' friend ' becomes ' china ' (cockney rhyming slang, mate is china plate) . ' b '+' one '+' china '=' BONE CHINA ' ' providing ' acts as a link.",bone china,https://www.crosswordgenius.com/clue/bachelor-single-friend-providing-skeleton-service
Cold as princess taken with street worker (7),' cold ' is the definition. ('distant' can be similar in meaning to 'cold') ' princess taken with street worker ' is the wordplay. ' princess ' becomes ' di '. ' taken with ' is a charade indicator (letters next to each other). ' street ' becomes ' st '. ' worker ' becomes ' ant ' (worker is a type of ant) . ' di '+' st '+' ant '=' DISTANT ' ' as ' is the link.,distant,https://www.crosswordgenius.com/clue/cold-as-princess-taken-with-street-worker
"Venomous type, man attracting firm support (4,5)",' venomous type ' is the definition.  ' man attracting firm support ' is the wordplay. ' man ' becomes ' king ' (king is a kind of man**) . ' attracting ' is a charade indicator (letters next to each other). ' firm ' becomes ' co ' (a firm is a company) . ' support ' becomes ' bra ' (a support for the breasts) . ' king '+' co '+' bra '=' KING COBRA ',king cobra,https://www.crosswordgenius.com/clue/venomous-type-man-attracting-firm-support
"Very quietly brought into AA, left in dismay (5)",' dismay ' is the definition. ('appal' can be a synonym of 'dismay') ' very quietly brought into aa left ' is the wordplay. ' very quietly ' becomes ' pp '. ' brought into ' is an insertion indicator. ' left ' becomes ' l ' (common abbreviation) . ' pp ' inserted within ' aa ' is ' appa '. ' appa '+' l '=' APPAL ' ' in ' is the link.,appal,https://www.crosswordgenius.com/clue/very-quietly-brought-into-aa-left-in-dismay
He has dog rolling barrel (8),' barrel ' is the definition. (hogshead is a kind of barrel) ' he has dog rolling ' is the wordplay. ' rolling ' indicates anagramming the letters. ' he '+' has '+' dog '=' hehasdog ' ' hehasdog ' with letters rearranged gives ' HOGSHEAD '.,hogshead,https://www.crosswordgenius.com/clue/he-has-dog-rolling-barrel
Found priest quiet nursing wound (9),' found ' is the definition. (found can mean to set up or establish) ' priest quiet nursing wound ' is the wordplay. ' priest ' becomes ' eli ' (Biblical character) . ' quiet ' becomes ' sh ' (both can be said to tell someone to be quiet) . ' nursing ' means one lot of letters goes inside another. ' wound ' becomes ' stab '  . ' eli '+' sh '=' elish ' ' elish ' placed around ' stab ' is ' ESTABLISH '.,establish,https://www.crosswordgenius.com/clue/found-priest-quiet-nursing-wound
"Where traders are quick to catch morning boat (4,6)",' where traders ' is the definition. The answer is a location as well as being a singular noun. This is suggested by the definition. ' quick to catch morning boat ' is the wordplay. ' quick ' becomes ' fleet '  . ' to catch ' indicates putting letters inside. ' morning ' becomes ' am '. ' boat ' becomes ' ark ' (ark is a kind of boat**) . ' am '+' ark '=' amark ' ' fleet ' placed around ' amark ' is ' FLEA MARKET '. ' are ' is the link.,flea market,https://www.crosswordgenius.com/clue/where-traders-are-quick-to-catch-morning-boat
"Why things go wrong with potato salad? (7,3)",' why things go wrong ' is the definition.  ' with potato salad? ' is the wordplay. ' with ' is a charade indicator (letters next to each other). ' potato ' becomes ' murphy ' ('murphy' can be a synonym of 'potato') . ' salad? ' becomes ' slaw ' (slaw is a kind of salad) . ' murphy '+' slaw ' is ' MURPHYS LAW '.,murphys law,https://www.crosswordgenius.com/clue/why-things-go-wrong-with-potato-salad
Epitaph for cricket side in Harrogate location? (5),' harrogate location? ' is the definition. The definition suggests a singular noun which matches the answer. ' epitaph for cricket side ' is the wordplay. ' epitaph ' becomes ' rip ' (rest in peace) . ' for ' is a charade indicator (letters next to each other). ' cricket side ' becomes ' on '. ' rip '+' on '=' RIPON ' ' in ' is the link.,ripon,https://www.crosswordgenius.com/clue/epitaph-for-cricket-side-in-harrogate-location
Two dozen for we nutty cooks,' two dozen ' is the definition. ('twenty-four' can be a synonym of 'two dozen') ' for we nutty cooks ' is the wordplay. ' cooks ' indicates an anagram. ' for '+' we '+' nutty '=' forwenutty ' ' forwenutty ' anagrammed gives ' TWENTY-FOUR '.,twenty-four,https://www.crosswordgenius.com/clue/two-dozen-for-we-nutty-cooks
Rather small-minded Republican brought in (6),' rather ' is the definition. ('pretty' can be a synonym of 'rather') ' small-minded republican brought in ' is the wordplay. ' small-minded ' becomes ' petty ' ('petty' can be a synonym of 'small-minded') . ' republican ' becomes ' r ' (abbreviation) . ' brought in ' means one lot of letters goes inside another. ' petty ' placed around ' r ' is ' PRETTY '.,pretty,https://www.crosswordgenius.com/clue/rather-smallminded-republican-brought-in
Low resistance up in space (4),' space ' is the definition. (room is a kind of space) ' low resistance up ' is the wordplay. ' low ' becomes ' moo ' ('moo' can be a synonym of 'low') . ' resistance ' becomes ' r ' (abbreviation) . ' up ' says the letters should be written backwards (in down clue: letters go upwards) . ' moo '+' r '=' moor ' ' moor ' back-to-front is ' ROOM '. ' in ' is the link.,room,https://www.crosswordgenius.com/clue/low-resistance-up-in-space
Greek lost in Antioch beginning to revive within (10),' greek ' is the definition. (Corinthian is an example) ' lost in antioch beginning to revive within ' is the wordplay. ' lost ' indicates an anagram. ' beginning to ' indicates taking the first letters. ' within ' means one lot of letters goes inside another. The initial letter of ' r evive ' is ' r '. ' in '+' antioch '=' inantioch ' ' inantioch ' anagrammed gives ' cointhian '. ' cointhian ' enclosing ' r ' is ' CORINTHIAN '.,corinthian,https://www.crosswordgenius.com/clue/greek-lost-in-antioch-beginning-to-revive-within
"Why things go wrong with potato salad? (7,3)",' why things go wrong ' is the definition.  ' with potato salad? ' is the wordplay. ' with ' is a charade indicator (letters next to each other). ' potato ' becomes ' murphy ' ('murphy' can be a synonym of 'potato') . ' salad? ' becomes ' slaw ' (slaw is a kind of salad) . ' murphy '+' slaw ' is ' MURPHYS LAW '.,murphys law,https://www.crosswordgenius.com/clue/why-things-go-wrong-with-potato-salad
Epitaph for cricket side in Harrogate location? (5),' harrogate location? ' is the definition. The definition suggests a singular noun which matches the answer. ' epitaph for cricket side ' is the wordplay. ' epitaph ' becomes ' rip ' (rest in peace) . ' for ' is a charade indicator (letters next to each other). ' cricket side ' becomes ' on '. ' rip '+' on '=' RIPON ' ' in ' is the link.,ripon,https://www.crosswordgenius.com/clue/epitaph-for-cricket-side-in-harrogate-location
Two dozen for we nutty cooks,' two dozen ' is the definition. ('twenty-four' can be a synonym of 'two dozen') ' for we nutty cooks ' is the wordplay. ' cooks ' indicates an anagram. ' for '+' we '+' nutty '=' forwenutty ' ' forwenutty ' anagrammed gives ' TWENTY-FOUR '.,twenty-four,https://www.crosswordgenius.com/clue/two-dozen-for-we-nutty-cooks
Rather small-minded Republican brought in (6),' rather ' is the definition. ('pretty' can be a synonym of 'rather') ' small-minded republican brought in ' is the wordplay. ' small-minded ' becomes ' petty ' ('petty' can be a synonym of 'small-minded') . ' republican ' becomes ' r ' (abbreviation) . ' brought in ' means one lot of letters goes inside another. ' petty ' placed around ' r ' is ' PRETTY '.,pretty,https://www.crosswordgenius.com/clue/rather-smallminded-republican-brought-in
Low resistance up in space (4),' space ' is the definition. (room is a kind of space) ' low resistance up ' is the wordplay. ' low ' becomes ' moo ' ('moo' can be a synonym of 'low') . ' resistance ' becomes ' r ' (abbreviation) . ' up ' says the letters should be written backwards (in down clue: letters go upwards) . ' moo '+' r '=' moor ' ' moor ' back-to-front is ' ROOM '. ' in ' is the link.,room,https://www.crosswordgenius.com/clue/low-resistance-up-in-space
Greek lost in Antioch beginning to revive within (10),' greek ' is the definition. (Corinthian is an example) ' lost in antioch beginning to revive within ' is the wordplay. ' lost ' indicates an anagram. ' beginning to ' indicates taking the first letters. ' within ' means one lot of letters goes inside another. The initial letter of ' r evive ' is ' r '. ' in '+' antioch '=' inantioch ' ' inantioch ' anagrammed gives ' cointhian '. ' cointhian ' enclosing ' r ' is ' CORINTHIAN '.,corinthian,https://www.crosswordgenius.com/clue/greek-lost-in-antioch-beginning-to-revive-within
