Korean,English
괜히,"in vain, pointlessly, for nothing, needlessly"
괴담,ghost story
괴로운,bitter
괴롭혀요,"to harass, annoy, trouble"
괴롭혔어요,"to harass, annoy, trouble"
괴롭히다,"to harass, annoy, trouble"
괴롭힐 거예요,"to harass, annoy, trouble"
괴물,"monster, freak"
굉장하다,"to be wonderful, great, marvelous, excellent, awesome"
굉장히,in-flight meal
교과목,sushi
교과서,textbook
교대,"rotation, shift, alternation, take turns, relief"
교만한,proud
교무실,"faculty office, teacher's office"
교문,school gate
교복,school uniform
교사,"price, cost, value"
교수,hallway
교실,ID card
교양,"cultured, sophistication, refinement"
교육,"education, training, schooling"
교장,purchase
교재,"teaching materials, textbook"
교토 시,Kyoto
교포,ethnic Korean living abroad
교환하다,"to exchange, trade, swap"
교환학생,exchange student
교회,church
구,4.0
구경하다,rhinoceros
구글,Google
구급차,ambulance
구두,dress shoes
구두쇠,"cheapskate, scrooge, penny pincher"
구름,cloud
구매,purchase
구멍,memory
구박하다,"to ill-treat, mistreat, abuse, be hard on"
구별하다,x
구분하다,"banishment, exile"
구석,"notebook, laptop"
구석구석,"every nook and corner, everywhere"
구석진 곳,corner
구성원,member
구슬,"bead, marble"
구약성서,Old Testament
구입품,purchase
구입하다,to turn right
구조,"to decorate, trim, adorn"
구조하다,"to rescue, help, save"
구체적,"concrete, definite, specific, detailed"
구하다,x
구획,compartment
국,"soup, nation, country, state"
국가,animal
국기,national flag
국내,"inside country, domestic"
국립,national establishment
국물,"beverage, drink"
국민,"the public, people, citizen"
국수,noodles
국자,"ladle, scoop"
국적,"nationality, citizenship"
국제,"being international, global"
국제 연맹,League of Nations
국제선,"alliance, partnership"
국제적인,international
국화,"chrysanthemum, national flower"
국회,"national assembly, congress, parliament"
군것질,"eating between meals, snacking"
군대,"army, military, troops"
군도,archipelago
군사,military
군인,"military personnel, soldier"
군주제,monarchy
군중,"crowd, mass"
굴,oyster
굴다,Celsius
굴뚝,chimney
굴욕,"humiliation, indignity"
굶다,"to starve, go hungry, skip a meal"
굶어요,"to starve, go hungry, skip a meal"
굶었어요,"to starve, go hungry, skip a meal"
굶을 거예요,"to starve, go hungry, skip a meal"
굽,heel
굽는 사람,baker
궁궐,royal palace
궁술,archery
궁전,palace
권리,right
권유하다,"to advise, suggest, recommend"
권총,"pistol, hand gun"
권투,boxing
권하다,offer
권한,"rights, authority, power"
귀,"medicine, medical science"
귀가하다,"to go home, come home"
귀걸이,earring
귀고리,earring
귀국하다,to return to one's home country
귀금속,"jewelry, precious metal"
귀뚜라미,cricket
귀띔,"hint, tip"
귀여울 거예요,to be cute
귀여워요,to be cute
귀여웠어요,to be cute
귀엽다,to be cute
귀족,duke
귀중하다,"to be precious, valuable, priceless, invaluable"
귀하,"sir, madam, formal title"
귀하다,"to be noble, rare, precious"
규모,"scale, scope, systematic plan"
규칙,"rule, regulation"
균계,fungus
균학,mycology
균형,"balance, equilibrium"
귤,"tangerine, mandarin orange"
그것의,its
그네,swings
그녀,"she, her"
그늘,"opinion, view, idea"
그대,younger sister
그때,"incompetence, incapable, ineffective"
그래도,"nevertheless, still, however"
그래서,"therefore, so"
그래요,"to be like that, that way"
그랬어요,"to be like that, that way"
그러니까,"to be out of stock, sold out"
그런,"that sort of, that kind of, that type of"
그런대로,"tolerably, passably, somehow, such that it is"
그럴 거예요,"to be like that, that way"
그럼,"then, sure of, course"
그렇게,like that
그렇다,"to be like that, that way"
그레나다,Grenada
그레이트배리어리프,Great Barrier Reef
그레이프프루트,grapefruit
그룹,x
그를,him
그릇,rubber shoes
그리,"seasoning, condiment"
그리고,"and, and then"
그리스 문자,Greek alphabet
그리스 신화,Greek mythology
그리스도인,Christian
그리움,"longing, yearning"
그림,"picture, painting, drawing"
그림자,to go to school
그립다,"dressing room, changing room, locker room"
그만두다,x
그만큼,"that much, to that extent, as much, so much"
그만하다,"to vote, cast a ballot"
그물자리,Reticulum
그와 같이,so
그의,his
그저,x
그저께,day before yesterday
그제,the day before yesterday
그치다,"to take responsibility, responsible for"
극장,"theater, movie theater"
극찬,"high praise, compliment"
극피동물,echinoderm
근로,labor
근로자,workers
근무,towel
근시,"nearsightedness, short sighted"
근육,muscle
근처,"nearby, vicinity, neighborhood"
근친상간,incest
글,cup
글래스고,Glasgow
글씨,handwriting
글자,"owner, employer, landlord"
금,"religion, faith"
금고,safe
금년,winter
금반지,gold ring
금발,blonde hair
금붕어,goldfish
금성,Venus
금속,metal
금속공학,metallurgy
금액,amount of money
금연,"smoking prohibited, no smoking"
금연석,non-smoking section
금요일,Friday
금융,"finance, banking"
금지하다,"to prohibit, ban"
금품,money and valuables
급료,to wink
급속히,"to appear, make an appearance"
급행열차,express train
급히,candlelight
기,flag
기간,"the day, week, month, etc. before last"
기계,instrument
기계공학,mechanical engineering
기관,"success, succeed"
기관지염,bronchitis
기교,technique
기껏,"to the best of one's ability, as much as one can, at most"
기내식,in-flight meal
기념,"commemoration, memory, celebration"
기념일,anniversary
기념품,souvenir
기다려요,to wait
기다렸어요,to wait
기다리다,to wait
기다릴 거예요,to wait
기도하다,"to be satisfied, pleased, content"
기러기,wild goose
기록하다,"to order, place an order"
기르다,"silence, become silent, say nothing"
기름,skirt
기린,giraffe
기말시험,final exam
기모노,kimono
기본적,"basic, fundamental"
기본형,"manager, administrator"
기분,"contents, substance, details, message"
기분 좋은,cheerful
기뻐하다,"to be cozy, comfortable, warm, snug"
기사,"insect, bug"
기상학,meteorology
기생 동물,parasite
기세,"spirit, force"
기숙사,dormitory
기압계,barometer
기어이,"in the end, no matter what, without fail"
기억,memory
기억하다,to remember
기업,mailman
기온,umbrella
기와집,tile-roofed house
기운,"hair pin, hair clip, bobby pin"
기웃기웃,"peeping, snooping, peek"
기이하다,"to be strange, odd, weird, bizarre"
기자,"reporter, journalist, editor"
기저귀,diaper
기적,"caution, beware of, careful"
기절하다,"to faint, pass out"
기죽다,"to be discouraged, down"
기죽어요,"to be discouraged, down"
기죽었어요,"to be discouraged, down"
기죽을 거예요,"to be discouraged, down"
기준,"standard, criteria, basis"
기중기,crane
기차,yellow
기차역,train station
기초,"to bargain, haggle over terms, negotiate"
기침,cough
기침하다,cough
기타,guitar
기하학,geometry
기호,"doll, puppet, figure"
기회,"chance, opportunity, time"
기후,climate
기후학,climatology
긴 양말,stocking
긴장감,selfish
긴장하다,x
긴하다,"to be important, urgent, essential"
길,"red, crimson, scarlet"
길 거예요,to be long
길가,"roadside, side of the street"
길가메쉬,Gilgamesh
길거리,"street, road"
길다,to be long
길어요,to be long
길었어요,to be long
길이,Korean restaurant
김장,kimchi prepared for winter
김치,kimchi
김치전,kimchi pancake
깊이,"only, solely, exclusively, just"
까다,restoration to the original state
까마귀,crow
까만색,black
까맣다,pitcher
까치,magpie
깎다,workbook
깎아요,workbook
깎았어요,workbook
깎을 거예요,workbook
깔끔하다,"fatigue, exhaustion, tiredness"
깔때기,funnel
깜빡하다,"to become better, improve, advance, progress"
깜짝,"startling, surprising, all of a sudden"
깨,sesame
깨끗한,clean
깨다,waiter
깨닫다,flour-based food
깨뜨리다,"contact, touch, make contact with"
깨진,broken
꺼내다,conscience
꺼내요,to be small
꺼낼 거예요,to be small
꺼냈어요,to be small
꺼요,language study abroad
껌,chewing gum
껍질,"skin, bark, peel, nutshell, shell, frame"
껐어요,language study abroad
껴요,to pay
꼈어요,to pay
꼬다,"temperature below freezing, below zero"
꼬리,"womanizer, playboy"
꼬마,"expansion, growth, increase, expand, swell"
꼬박꼬박,"regularly, on a regular basis"
꼭,x
꼴불견,"arms, weapon"
꼴찌,"the last, the bottom, worst performer"
꼼짝 못하다,"to be unable to move at all, stuck, in a fix, at a loss"
꽃,"flower, bloom, blossom"
꽃다발,"bouquet, bunch of flowers"
꽃무늬,floral design
꽃바구니,flower basket
꽃병,"flower vase, vase"
꽃잎,petal
꽃집,flower shop
꽉,"for the time being, for a while, for now"
꽤,"quite, fairly, rather, pretty"
꾸다,canned food
꾸준히,"steadily, consistently, constantly, persistent"
꿀,soy bean paste stew
꿀벌,bee
꿈,"intersection, crossroads, street corner"
꿈꾸다,to be mysterious
꿈속,inside a dream
꿩,pheasant
끄다,language study abroad
끄덕였어요,"to be defeated, lose"
끄덕이다,"to be defeated, lose"
끄덕이에요,"to be defeated, lose"
끄덕일 거예요,"to be defeated, lose"
끈,cord
끊기다,x
끊어지다,fallen leaves
끌,chisel
끌 거예요,language study abroad
끌어내다,"to take out, bring out, drag out"
끔찍하다,"to be terrible, horrible, awful, horrific"
끝,"sir, madam, formal title"
끝내,outside the window
끝내다,x
끼다,to pay
낄 거예요,to pay
나,I
나가다,"to go out, go outside, leave"
나가사키 시,Nagasaki
나가요,"to go out, go outside, leave"
나갈 거예요,"to go out, go outside, leave"
나갔어요,"to go out, go outside, leave"
나고야 시,Nagoya
나노기술,nanotechnology
나누다,odd number
나눌 거예요,odd number
나눠요,odd number
나눴어요,odd number
나뉘다,"to be divided, split, distributed"
나뉘어요,"to be divided, split, distributed"
나뉘었어요,"to be divided, split, distributed"
나뉠 거예요,"to be divided, split, distributed"
나다,"to be pretty, beautiful, cute"
나라,"country, nation"
나르다,"farmhouse, farming family"
나무,"tree, wood"
나무껍질,bark
나물,seasoned vegetables
나뭇가지,"tree branch, bough, twig"
나뭇잎,"leaf, foliage"
나방,moth
나비,butterfly
나빠요,"to be bad, poor"
나빠져요,"to grow worse, deteriorate"
나빠졌어요,"to grow worse, deteriorate"
나빠지다,"to grow worse, deteriorate"
나빠질 거예요,"to grow worse, deteriorate"
나빴어요,"to be bad, poor"
나쁘다,"to be bad, poor"
나쁠 거예요,"to be bad, poor"
나사돌리개,screwdriver
나사렛,Nazareth
나아가다,"wish, hope, desire"
나아가요,"to wear out, run down"
나아갈 거예요,"to wear out, run down"
나아갔어요,"to wear out, run down"
나열하다,"to list, arrange in order"
나오다,to come out
나올 거예요,to come out
나와요,to come out
나왔어요,to come out
나요,"to be pretty, beautiful, cute"
나의,my
나이,age
나이프,knife
나중에,later
나침반자리,Pyxis
나침의,compass
나흘,four days
낙엽,fallen leaves
낙지,octupus
낙타,camel
낚시,"stockings, pantyhose"
난로,"heater, stove"
난방,"heating, heating system"
난소,ovary
난파선,wreck
날,x
날 거예요,half-moon-shaped rice cake
날개,wings
날다,half-moon-shaped rice cake
날달걀,raw egg
날마다,"innacuracy, incorrectness"
날씨,weather
날씬하다,"to be slim, slender, lean"
날아가다,"to be surprised, astonished, startled"
날아가요,"to be surprised, astonished, startled"
날아갈 거예요,"to be surprised, astonished, startled"
날아갔어요,"to be surprised, astonished, startled"
날아요,half-moon-shaped rice cake
날았어요,half-moon-shaped rice cake
날짜,end of the month
날치자리,Volans
남,"other people, others, stranger"
남극점,South Pole
남기다,x
남녀,men and women
남다,"to remain, be leftover, be profitable,"
남대문,north
남동생,younger brother
남매,brother and sister
남몰래,x
남미,South America
남산,northeast
남색,"indigo, deep blue, navy"
남성,grandson
남아메리카,South America
남아요,"to remain, be leftover, be profitable,"
남았어요,"to remain, be leftover, be profitable,"
남을 거예요,"to remain, be leftover, be profitable,"
남자,"man, him"
남자친구,a boyfriend
남중국해,South China Sea
남쪽,south
남친,boyfriend
남편,husband
남학생,male student
남해,the South sea
납치하다,to kidnap
났어요,"to be pretty, beautiful, cute"
낭독하다,"to read aloud, recite"
낭만,romance
낭만적,romantic
낮,"day, daytime"
낮잠,nap
낯,face
낯설 거예요,to be unfamiliar
낯설다,"to be unfamiliar, strange, unknown"
낯설어요,to be unfamiliar
낯설었어요,to be unfamiliar
낱소리,phoneme
낳다,"to give birth, deliver, cause the existence"
낳아요,"to give birth, deliver, cause the existence"
낳았어요,"to give birth, deliver, cause the existence"
낳을 거예요,"to give birth, deliver, cause the existence"
내,father
내가다,"to take out, take away, remove"
내과,internal medicine
내기,"bet, betting, wager"
내내,portal
내년,next year
내놓다,"to be very big, huge, enormous"
내놓아요,"to be very big, huge, enormous"
내놓았어요,"to be very big, huge, enormous"
내놓을 거에요,"to be very big, huge, enormous"
내다,to pay
내려가다,deer
내려오다,x
내리다,to print
내복,long underwear
내부,inner space of an object
내분비학,endocrinology
내성적,"introverted, reserved"
내쉬다,"to exhale, breathe out"
내요,to pay
내용,"contents, substance, details, message"
내일,tomorrow
내적,"inner, internal"
내전,civil war
내주,next week
낼 거예요,to pay
냄비,"pot, saucepan"
냄새,"background, setting"
냄새를 풍기다,smell
냈어요,to pay
냉면,cold noodles
냉장고,refrigerator
냉전,Cold War
냉정하다,"to be cool-headed, objective, cold-hearted, composed"
너,you
너머,"beyond, over, the other side"
너무나,"to rescue, help, save"
너무하다,"to be unreasonable, too much, excessive"
너희,"brothers, siblings"
넉넉하다,"to be sufficient, plenty"
넋,to yawn
널리,"widely, broadly, all over, extensively"
넓적다리,thigh
넘기다,"to plunder, loot, pillage"
넘나들다,"to come and go often, transcend"
넘어서다,"to pass over, exceed, go over"
넘어져요,romantic
넘어졌어요,romantic
넘어지다,romantic
넘어질 거예요,romantic
넘쳐요,"to overflow, run over, exceed, flood"
넘쳤어요,"to overflow, run over, exceed, flood"
넘치다,"to overflow, run over, exceed, flood"
넘칠 거예요,"to overflow, run over, exceed, flood"
넣다,blade of a knife
네 살,"duo, pair"
네덜란드령 안틸레스,Netherlands Antilles
네모,4 sided shape
네페르티티,Nefertiti
넥타이,necktie
넷,9.0
녀석,"young man, young people, youth"
년,year
년대,"last time, the other day"
노,oar
노간주나무속,juniper
노년기,old age
노동,"parking lot, parking garage"
노동자,"worker, laborer"
노란색,yellow
노랄 거예요,to be yellow
노랗다,to be yellow
노래,song
노래방,karaoke room
노래요,to be yellow
노래자랑,singing contest
노래하다,to sing
노랜만에,after a long time
노랬어요,to be yellow
노려보다,"attention, notice"
노력,effort
노력하다,"to make an effort, to try hard"
노르웨이 해,Norwegian Sea
노름하다,to gamble
노바스코샤 주,Nova Scotia
노벨상,Nobel prize
노보시비르스크,Novosibirsk
노숙,sleep in the open
노스웨스트 준주,Northwest Territories
노약자,"elderly, weak people"
노약자석,handicapped seating
노예,slave
노인,"old people, senior citizen"
노출하다,"to be suspicious, strange, shady"
노트북,"notebook, laptop"
노트하다,to take notes
노퍽 섬,Norfolk Island
녹,rust
녹색,green
녹음기,recorder
녹음실,recording studio
녹음하다,"to dine out, go out to eat"
녹이다,"to melt, dissolve, unfreeze"
녹차,green tea
녹화,video recording
논,rice field
논란,"controversy, dispute"
논리,"logic, reasoning"
논리적,"being logical, reasoning"
논리적인,logical
논리학,logic
논문,"thesis, research paper"
놀라다,"to be surprised, astonished, startled"
놀라요,"to be surprised, astonished, startled"
놀랄 거예요,"to be surprised, astonished, startled"
놀랐어요,"to be surprised, astonished, startled"
놀이,"play, game, entertainment"
놀이공원,amusement park
놀이기구,amusement park rides
놀이터,playground
농가,"farmhouse, farming family"
농구,basketball
농민,farmer
농사,"farming, farm work, agriculture"
농업,"agriculture, the farming industry"
농장,"farm, ranch, plantation"
농촌,"farm village, farming area, rural area"
높은,tall
높이,labor
높이다,perfect score
놓다,x
놓아두다,"to disclose, expose, reveal"
놓아요,to be big
놓았어요,to be big
놓여요,"to be huge, enormous, tremendous, overwhelming"
놓였어요,"to be huge, enormous, tremendous, overwhelming"
놓을 거예요,to be big
놓이다,"to be huge, enormous, tremendous, overwhelming"
놓일 거예요,"to be huge, enormous, tremendous, overwhelming"
놓쳐요,"to miss, let slip, fail to catch, throw away, lose, fail"
놓쳤어요,"to miss, let slip, fail to catch, throw away, lose, fail"
놓치다,"to miss, let slip, fail to catch, throw away, lose, fail"
