input,answer,variation
"Are the words in seq1 and seq2 exactly matching one-to-one (ignoring order)? If yes, answer 'yes'. If not, which word is different?
seq1: contract of the the sign a reconstruction tenant after Center to first Trade World
seq2: World after first tenant reconstruction to sign the a Trade the of the Center",contract,modify
"Are the words in seq1 and seq2 exactly matching one-to-one (ignoring order)? If yes, answer 'yes'. If not, which word is different?
seq1: last true a can lifetime but last fade away love forever Origin and fate yet
seq2: fade fate forever a lifetime Origin love true last can last but away yet and",yes,unchanged
"Are the words in seq1 and seq2 exactly matching one-to-one (ignoring order)? If yes, answer 'yes'. If not, which word is different?
seq1: can and lifetime true Origin fade fate last love yet a but last forever away
seq2: yet lifetime last forever can his fade fate Origin love a away but true and last",his,add
"Are the words in seq1 and seq2 exactly matching one-to-one (ignoring order)? If yes, answer 'yes'. If not, which word is different?
seq1: can forever lifetime true yet fate Origin but last and a fade away last love
seq2: lifetime true fate forever and last but Origin away can last a love fade",yet,delete
"Are the words in seq1 and seq2 exactly matching one-to-one (ignoring order)? If yes, answer 'yes'. If not, which word is different?
seq1: lifetime last fade forever a can true but away last fate yet Origin love and
seq2: fate and forever can fade away Origin but last love yet lifetime last evening a",true,modify
"Are the words in seq1 and seq2 exactly matching one-to-one (ignoring order)? If yes, answer 'yes'. If not, which word is different?
seq1: phenomenon of advance a industry is often The are estate experiencing and incorrectly real national compared
seq2: estate compared and of often phenomenon The experiencing is a real advance industry are incorrectly national",yes,unchanged
"Are the words in seq1 and seq2 exactly matching one-to-one (ignoring order)? If yes, answer 'yes'. If not, which word is different?
seq1: national often industry The advance real compared experiencing of estate phenomenon and are a incorrectly is
seq2: is The industry and real experiencing a phenomenon often estate of compared made are national advance incorrectly",made,add
"Are the words in seq1 and seq2 exactly matching one-to-one (ignoring order)? If yes, answer 'yes'. If not, which word is different?
seq1: and estate often national are a industry The of experiencing incorrectly is real compared advance phenomenon
seq2: often estate a compared incorrectly advance industry national phenomenon The is experiencing are of real",and,delete
"Are the words in seq1 and seq2 exactly matching one-to-one (ignoring order)? If yes, answer 'yes'. If not, which word is different?
seq1: a The often compared industry experiencing incorrectly national and of is are advance estate phenomenon real
seq2: designed and a national advance incorrectly is of compared real are phenomenon The experiencing often estate",industry,modify
"Are the words in seq1 and seq2 exactly matching one-to-one (ignoring order)? If yes, answer 'yes'. If not, which word is different?
seq1: expert perspective consumers from be an should not a be companies to but communicated preachy in should
seq2: from to expert perspective companies but not preachy consumers an in should should be be communicated a",yes,unchanged
"Are the words in seq1 and seq2 exactly matching one-to-one (ignoring order)? If yes, answer 'yes'. If not, which word is different?
seq1: an from companies be a should should be preachy in but consumers perspective not expert communicated to
seq2: to should companies perspective communicated from to in a should an preachy not expert but consumers be be",to,add
"Are the words in seq1 and seq2 exactly matching one-to-one (ignoring order)? If yes, answer 'yes'. If not, which word is different?
seq1: preachy should a to companies from consumers be should not but communicated be expert perspective in an
seq2: be not companies should but preachy in an should perspective from expert communicated be to consumers",a,delete
"Are the words in seq1 and seq2 exactly matching one-to-one (ignoring order)? If yes, answer 'yes'. If not, which word is different?
seq1: expert from preachy should consumers but in communicated be perspective to an companies be not a should
seq2: in expert preachy communicated should be an be perspective to companies consumers not University from a but",should,modify
"Are the words in seq1 and seq2 exactly matching one-to-one (ignoring order)? If yes, answer 'yes'. If not, which word is different?
seq1: be grammar even so mistakes will be writing errors However still there avoiding and cautious careful when including
seq2: grammar careful errors However including when writing still even mistakes will cautious be be there and so avoiding",yes,unchanged
"Are the words in seq1 and seq2 exactly matching one-to-one (ignoring order)? If yes, answer 'yes'. If not, which word is different?
seq1: so including there when be avoiding even grammar errors writing will and cautious careful still mistakes be However
seq2: However avoiding mistakes be still grammar there be writing even errors and cautious so will including careful when Zhiqiang's",Zhiqiang's,add
"Are the words in seq1 and seq2 exactly matching one-to-one (ignoring order)? If yes, answer 'yes'. If not, which word is different?
seq1: including However cautious there errors careful still grammar and when be even avoiding be will so mistakes writing
seq2: still there when However will mistakes careful be writing be even and avoiding so cautious including errors",grammar,delete
"Are the words in seq1 and seq2 exactly matching one-to-one (ignoring order)? If yes, answer 'yes'. If not, which word is different?
seq1: cautious avoiding will including there grammar writing be be so However when mistakes still even careful errors and
seq2: be leisure errors even However so when will writing avoiding still and grammar careful mistakes cautious there including",be,modify
"Are the words in seq1 and seq2 exactly matching one-to-one (ignoring order)? If yes, answer 'yes'. If not, which word is different?
seq1: prominent protection improving and environmental work sustainable further problems solve people's economic social strengthen pollution livelihoods promote effectively environmental
seq2: livelihoods and people's work problems improving effectively environmental economic pollution solve prominent promote sustainable environmental further social protection strengthen",yes,unchanged
"Are the words in seq1 and seq2 exactly matching one-to-one (ignoring order)? If yes, answer 'yes'. If not, which word is different?
seq1: promote prominent livelihoods further protection environmental problems sustainable social work environmental pollution improving effectively strengthen solve people's economic and
seq2: livelihoods promote sustainable outstanding and strengthen prominent improving people's environmental work effectively social pollution environmental problems protection economic further solve",outstanding,add
"Are the words in seq1 and seq2 exactly matching one-to-one (ignoring order)? If yes, answer 'yes'. If not, which word is different?
seq1: effectively pollution social protection further prominent livelihoods sustainable economic improving promote problems people's strengthen and solve work environmental environmental
seq2: environmental sustainable further solve problems livelihoods improving pollution economic effectively protection people's promote strengthen work prominent and environmental",social,delete
"Are the words in seq1 and seq2 exactly matching one-to-one (ignoring order)? If yes, answer 'yes'. If not, which word is different?
seq1: improving and livelihoods protection effectively economic prominent strengthen work environmental pollution solve problems people's environmental sustainable promote further social
seq2: promote environmental a environmental social prominent protection further work pollution sustainable strengthen economic effectively and problems solve improving people's",livelihoods,modify
"Are the words in seq1 and seq2 exactly matching one-to-one (ignoring order)? If yes, answer 'yes'. If not, which word is different?
seq1: soul us doesn't tragedies who the Eagle the Seeing of the make and is Magic of Howard think the about
seq2: of who is think us Howard Seeing make Eagle of the doesn't Magic the the and soul tragedies the about",yes,unchanged
"Are the words in seq1 and seq2 exactly matching one-to-one (ignoring order)? If yes, answer 'yes'. If not, which word is different?
seq1: the is Howard about the think Seeing us the and Magic of doesn't the who make tragedies of Eagle soul
seq2: the of about us tragedies of Magic Howard the doesn't the make who think and Seeing the the soul is Eagle",the,add
"Are the words in seq1 and seq2 exactly matching one-to-one (ignoring order)? If yes, answer 'yes'. If not, which word is different?
seq1: Howard Seeing doesn't the think make and Eagle tragedies who of the the is us Magic about the of soul
seq2: who Eagle Magic us of and tragedies the Howard make Seeing soul about think is the the of doesn't",the,delete
"Are the words in seq1 and seq2 exactly matching one-to-one (ignoring order)? If yes, answer 'yes'. If not, which word is different?
seq1: tragedies the Howard who is soul the and of Magic of doesn't us make the about Seeing think the Eagle
seq2: is Howard Eagle of Seeing make us soul points who about the Magic the and tragedies doesn't of the think",the,modify
"Are the words in seq1 and seq2 exactly matching one-to-one (ignoring order)? If yes, answer 'yes'. If not, which word is different?
seq1: score However low Ajing's couldn't Ajing feel that a didn't could passing even and essay when he score scored he get
seq2: However couldn't passing get he could and didn't when low score score Ajing scored feel he essay even that a Ajing's",yes,unchanged
"Are the words in seq1 and seq2 exactly matching one-to-one (ignoring order)? If yes, answer 'yes'. If not, which word is different?
seq1: could when get couldn't score a that score essay didn't he feel low Ajing scored even passing However Ajing's and he
seq2: even However could Ajing he didn't Ajing's score a Lamar score and low scored passing couldn't essay get feel he that when",Lamar,add
"Are the words in seq1 and seq2 exactly matching one-to-one (ignoring order)? If yes, answer 'yes'. If not, which word is different?
seq1: essay that score he get couldn't he low Ajing However a when feel and didn't could Ajing's passing score even scored
seq2: score couldn't get and low he Ajing's scored he score could when even feel didn't However passing a Ajing essay",that,delete
"Are the words in seq1 and seq2 exactly matching one-to-one (ignoring order)? If yes, answer 'yes'. If not, which word is different?
seq1: that didn't passing couldn't score scored even score feel However could he low essay Ajing's when Ajing a and get he
seq2: even that However didn't and Ajing's scored couldn't Ajing get passing he when he a score most essay score feel could",low,modify
"Are the words in seq1 and seq2 exactly matching one-to-one (ignoring order)? If yes, answer 'yes'. If not, which word is different?
seq1: West how wrist so it hand and is feel a affects Kostic much had poor left-handed Weaver right bad shooting strange injury
seq2: Kostic affects left-handed wrist Weaver bad injury shooting had poor strange much is it so feel how right hand West a and",yes,unchanged
"Are the words in seq1 and seq2 exactly matching one-to-one (ignoring order)? If yes, answer 'yes'. If not, which word is different?
seq1: wrist poor right strange affects hand and much left-handed so West Weaver Kostic injury it had how a shooting is bad feel
seq2: a wrist affects is Weaver feel hand strange and injury poor it sweeping so West much how left-handed shooting right bad Kostic had",sweeping,add
"Are the words in seq1 and seq2 exactly matching one-to-one (ignoring order)? If yes, answer 'yes'. If not, which word is different?
seq1: Kostic and injury bad affects right Weaver a feel poor so had how left-handed is it much strange West wrist shooting hand
seq2: bad left-handed a and injury wrist Kostic right affects poor hand it is much had how West feel shooting so strange",Weaver,delete
"Are the words in seq1 and seq2 exactly matching one-to-one (ignoring order)? If yes, answer 'yes'. If not, which word is different?
seq1: is wrist so a Kostic hand shooting bad feel right had much left-handed how it injury affects West and poor Weaver strange
seq2: and Kostic wrist is shooting right affects so injury bad feel how had strange hand a had left-handed it much poor West",Weaver,modify
"Are the words in seq1 and seq2 exactly matching one-to-one (ignoring order)? If yes, answer 'yes'. If not, which word is different?
seq1: last Shanghai According than funds Composite also The more rose to of than funds and more by bond week Index rose by rose
seq2: According rose and The also than Index funds by rose funds bond Shanghai Composite by week more more last of rose to than",yes,unchanged
"Are the words in seq1 and seq2 exactly matching one-to-one (ignoring order)? If yes, answer 'yes'. If not, which word is different?
seq1: bond week of According Index funds Composite Shanghai by funds more also more by rose last rose to and than than rose The
seq2: than bond and last rose rose Index more The by funds Shanghai According than by also to Composite week of funds more rose by",by,add
"Are the words in seq1 and seq2 exactly matching one-to-one (ignoring order)? If yes, answer 'yes'. If not, which word is different?
seq1: by rose According more Composite The to by also Index than than funds and of bond Shanghai funds last week more rose rose
seq2: week rose and Composite also bond by than Index funds more more by According of rose than last funds rose The Shanghai",to,delete
"Are the words in seq1 and seq2 exactly matching one-to-one (ignoring order)? If yes, answer 'yes'. If not, which word is different?
seq1: According rose more of week Composite to The funds than last Shanghai and funds more rose by bond by Index also than rose
seq2: rose rose also by and bond Shanghai more and to week by more than Composite funds According funds last than of The rose",Index,modify
"Are the words in seq1 and seq2 exactly matching one-to-one (ignoring order)? If yes, answer 'yes'. If not, which word is different?
seq1: with establish a In was order Tianpeng heart to a relationship alleviate drinking on spring Chang'e rely can filled to only encounter good with
seq2: Tianpeng was a on can good rely to relationship order to In heart with with filled Chang'e only drinking spring alleviate a establish encounter",yes,unchanged
"Are the words in seq1 and seq2 exactly matching one-to-one (ignoring order)? If yes, answer 'yes'. If not, which word is different?
seq1: heart Chang'e only good to with drinking can on alleviate In encounter establish a with order to spring Tianpeng relationship rely a filled was
seq2: only order can a filled Tianpeng on with establish to to drinking heart encounter spring of was relationship with alleviate In Chang'e good a rely",of,add
"Are the words in seq1 and seq2 exactly matching one-to-one (ignoring order)? If yes, answer 'yes'. If not, which word is different?
seq1: a only to can relationship with a Chang'e order encounter to with drinking alleviate good spring filled Tianpeng rely establish was heart In on
seq2: to a filled rely order Tianpeng can drinking on heart establish good only Chang'e a encounter spring to In with with relationship was",alleviate,delete
"Are the words in seq1 and seq2 exactly matching one-to-one (ignoring order)? If yes, answer 'yes'. If not, which word is different?
seq1: was on with In Tianpeng establish filled rely with spring encounter alleviate only good relationship a order heart to to Chang'e a drinking can
seq2: to alleviate drinking a good encounter spring to can only rely heart with was Chang'e establish beautiful on Tianpeng with relationship order filled a",In,modify
"Are the words in seq1 and seq2 exactly matching one-to-one (ignoring order)? If yes, answer 'yes'. If not, which word is different?
seq1: of sound levels the cool challenge level maps firecracker mall can a New Beast kill receive and dropped and different randomly super corresponding Year the
seq2: super New levels level and and of receive cool randomly a firecracker the dropped mall sound kill challenge Beast corresponding maps can Year the different",yes,unchanged
"Are the words in seq1 and seq2 exactly matching one-to-one (ignoring order)? If yes, answer 'yes'. If not, which word is different?
seq1: Year maps firecracker a cool can New of the and different sound corresponding receive kill and mall dropped super randomly level levels challenge Beast the
seq2: randomly challenge and cool Year the level sound kill super New receive maps dropped different firecracker of Beast can mall a corresponding and levels the Festival",Festival,add
"Are the words in seq1 and seq2 exactly matching one-to-one (ignoring order)? If yes, answer 'yes'. If not, which word is different?
seq1: can dropped a corresponding firecracker and super maps kill Beast randomly cool the the challenge of levels different receive Year sound New mall level and
seq2: randomly dropped challenge New level receive of firecracker super and and kill the Beast can maps Year cool different corresponding sound levels a the",mall,delete
"Are the words in seq1 and seq2 exactly matching one-to-one (ignoring order)? If yes, answer 'yes'. If not, which word is different?
seq1: firecracker corresponding Beast and dropped a New sound and the challenge randomly the maps mall receive different kill cool levels can of level Year super
seq2: the Beast maps kill firecracker New and receive randomly cool a and of mall equipment level can challenge the corresponding super Year dropped different levels",sound,modify
"Are the words in seq1 and seq2 exactly matching one-to-one (ignoring order)? If yes, answer 'yes'. If not, which word is different?
seq1: not the be should expanded three topic attention to Organizations the content coherence above the only can to the and connection aspects outline of according pay
seq2: outline to be pay the three connection should expanded of the according the attention not can above to the and content topic Organizations aspects coherence only",yes,unchanged
"Are the words in seq1 and seq2 exactly matching one-to-one (ignoring order)? If yes, answer 'yes'. If not, which word is different?
seq1: to coherence topic aspects should only the outline three expanded pay be of not above can and content according the connection the to attention Organizations the
seq2: above the feedback coherence the not outline the Organizations aspects can pay to content three the topic to of should only expanded according connection and attention be",feedback,add
"Are the words in seq1 and seq2 exactly matching one-to-one (ignoring order)? If yes, answer 'yes'. If not, which word is different?
seq1: and the pay above can to be not Organizations the the three only according to connection aspects expanded outline topic attention should coherence of the content
seq2: three can not content Organizations according to the be the the coherence the of should topic pay attention to above only aspects outline expanded and",connection,delete
"Are the words in seq1 and seq2 exactly matching one-to-one (ignoring order)? If yes, answer 'yes'. If not, which word is different?
seq1: three expanded outline the pay the and aspects to attention to of content be should the coherence above the according only can Organizations connection not topic
seq2: outline according the to attention should content of coherence not and the three Organizations connection topic pay the in above can only to expanded the be",aspects,modify
"Are the words in seq1 and seq2 exactly matching one-to-one (ignoring order)? If yes, answer 'yes'. If not, which word is different?
seq1: well a with to boots with The and just pants Matching it woolen the right of length jacket pairs is leg top the elongate sweater straight suggestion
seq2: well is woolen the straight to just length elongate pants jacket boots with right Matching sweater it of the a The leg and suggestion with pairs top",yes,unchanged
"Are the words in seq1 and seq2 exactly matching one-to-one (ignoring order)? If yes, answer 'yes'. If not, which word is different?
seq1: a of leg is length suggestion boots woolen to the straight right elongate jacket and pants Matching top sweater The pairs with with well just it the
seq2: leg length Matching boots the just and with The of straight to suggestion well woolen is the pairs it right the top sweater elongate jacket with pants a",the,add
"Are the words in seq1 and seq2 exactly matching one-to-one (ignoring order)? If yes, answer 'yes'. If not, which word is different?
seq1: elongate woolen length boots the straight suggestion well leg sweater with to The pants of pairs a jacket just it right is Matching and top with the
seq2: leg Matching right of boots pants it a is just well the with top pairs suggestion with and length the woolen straight jacket to sweater The",elongate,delete
"Are the words in seq1 and seq2 exactly matching one-to-one (ignoring order)? If yes, answer 'yes'. If not, which word is different?
seq1: pants right well is of Matching just The and woolen with straight pairs a top sweater to boots elongate the jacket length suggestion leg the it with
seq2: woolen and of just sweater elongate pants to it straight with is the the a boots pairs top well suggestion Matching is leg length The with jacket",right,modify
"Are the words in seq1 and seq2 exactly matching one-to-one (ignoring order)? If yes, answer 'yes'. If not, which word is different?
seq1: temperament bags be waist is platinum was perfect and run civilian seen her dress brand the Her Photo thrilled innocent up slim to Shanzhai allowed tie audience black
seq2: Her bags platinum black Photo Shanzhai run her slim was tie the perfect brand up thrilled civilian and be seen is allowed to dress waist audience innocent temperament",yes,unchanged
"Are the words in seq1 and seq2 exactly matching one-to-one (ignoring order)? If yes, answer 'yes'. If not, which word is different?
seq1: Her audience thrilled the be platinum is was innocent bags black seen Photo Shanzhai allowed brand and waist perfect dress tie to temperament up slim run civilian her
seq2: and her audience the bags allowed tie slim brand waist platinum to perfect Shanzhai up thrilled and temperament innocent seen civilian black Her be Photo is run dress was",and,add
"Are the words in seq1 and seq2 exactly matching one-to-one (ignoring order)? If yes, answer 'yes'. If not, which word is different?
seq1: bags Shanzhai the run platinum Photo allowed perfect temperament seen civilian be tie dress was thrilled is innocent up slim waist and to brand Her black her audience
seq2: audience innocent the Her up was temperament allowed is slim and bags civilian thrilled Shanzhai her Photo be tie waist brand to black perfect platinum seen dress",run,delete
"Are the words in seq1 and seq2 exactly matching one-to-one (ignoring order)? If yes, answer 'yes'. If not, which word is different?
seq1: is temperament up be innocent black to slim and perfect Shanzhai Photo civilian was run her brand the bags allowed seen tie Her dress waist platinum thrilled audience
seq2: up temperament Shanzhai be to Her civilian black seen allowed it is waist innocent thrilled bags audience tie and slim Photo the her was perfect dress run platinum",brand,modify
"Are the words in seq1 and seq2 exactly matching one-to-one (ignoring order)? If yes, answer 'yes'. If not, which word is different?
seq1: China half conservation the of the had of funds environmental second concept also At year stationed of and in a and possessing of end last protection total the energy
seq2: the of protection funds total a conservation At of environmental and and had also of last year possessing concept China stationed of in second the the end energy half",yes,unchanged
"Are the words in seq1 and seq2 exactly matching one-to-one (ignoring order)? If yes, answer 'yes'. If not, which word is different?
seq1: possessing funds China concept and protection total of in the environmental of energy stationed also had and end last year half the of of conservation the At a second
seq2: energy of last of of conservation and funds of in the half a China concept At stationed the also total the environmental protection had and possessing second year continued end",continued,add
"Are the words in seq1 and seq2 exactly matching one-to-one (ignoring order)? If yes, answer 'yes'. If not, which word is different?
seq1: At end concept had protection of of total possessing environmental a the in half also energy China second conservation last the funds of stationed the year and of and
seq2: China protection the of year last energy and of concept At also possessing had the the of total end and second funds environmental a half stationed conservation in",of,delete
"Are the words in seq1 and seq2 exactly matching one-to-one (ignoring order)? If yes, answer 'yes'. If not, which word is different?
seq1: stationed possessing also in the protection environmental second and total year last end At of the conservation of half and concept the China energy a of funds had of
seq2: environmental funds of and in total second of end also China the energy the year last possessing and had a concept island conservation of the of half protection At",stationed,modify
"Are the words in seq1 and seq2 exactly matching one-to-one (ignoring order)? If yes, answer 'yes'. If not, which word is different?
seq1: changes prices fall CPI include is or directly statistics and does whether calculates not calculation the the of housing and CPI not rise only of prices related to factor housing
seq2: housing include housing factor does or is CPI prices calculation the rise and only calculates to CPI statistics fall changes whether not prices directly of not related the and of",yes,unchanged
"Are the words in seq1 and seq2 exactly matching one-to-one (ignoring order)? If yes, answer 'yes'. If not, which word is different?
seq1: and and factor only not statistics directly rise to whether or calculation CPI prices prices the fall include related of calculates housing changes is of housing the not does CPI
seq2: or of prices statistics include online prices changes rise does related fall is not of calculates CPI whether housing only CPI the and not and housing to the calculation directly factor",online,add
"Are the words in seq1 and seq2 exactly matching one-to-one (ignoring order)? If yes, answer 'yes'. If not, which word is different?
seq1: the not of CPI related is changes does or not prices of and fall only include calculates factor directly and to statistics calculation rise the CPI housing housing prices whether
seq2: CPI directly of prices is to the or CPI housing fall of and and prices whether only calculation rise not does statistics the include housing not related factor calculates",changes,delete
"Are the words in seq1 and seq2 exactly matching one-to-one (ignoring order)? If yes, answer 'yes'. If not, which word is different?
seq1: or not prices is and factor fall changes and of the housing not to calculates include housing the statistics of rise only whether does calculation prices CPI related directly CPI
seq2: housing include directly the changes not fall calculation not prices factor of only related does or of whether statistics calculates CPI and rise the is primary to and prices housing",CPI,modify
