input,explanation,answer
"Eastern bird coming to a lake, not stopping (7)",' not stopping ' is the definition.  ' eastern bird coming to a lake ' is the wordplay. ' eastern ' becomes ' e '. ' bird ' becomes ' tern ' (tern is a kind of bird**) . ' coming to ' is a charade indicator (letters next to each other). ' lake ' becomes ' l '. ' e '+' tern '+' a '+' l '=' ETERNAL ',eternal
"Massage this as vigorously, before beginning to unwind (7)",' massage ' is the definition.  ' this as vigorously before beginning to unwind ' is the wordplay. ' vigorously ' indicates an anagram (the letters move vigorously around) . ' before ' means one lot of letters go next to another. ' beginning to ' indicates taking the first letters. The initial letter of ' u nwind ' is ' u '. ' this '+' as '=' thisas ' ' thisas ' with letters rearranged gives ' shiats '. ' shiats '+' u '=' SHIATSU ',shiatsu
Disturb small fish (5),' disturb ' is the definition. (thesaurus) ' small fish ' is the wordplay. ' small ' becomes ' s ' (abbreviation - e.g. clothes size) . ' fish ' becomes ' hake '  . ' s '+' hake '=' SHAKE ',shake
"Outsider provides rescue vessel, when surrounded by rampaging hordes (4,5)",' outsider ' is the definition. ' rescue vessel when surrounded by rampaging hordes ' is the wordplay. ' rescue vessel ' becomes ' ark '  . ' when surrounded by ' indicates putting letters inside. ' rampaging ' is an anagram indicator  . ' hordes ' anagrammed gives ' dhorse '. ' ark ' inserted within ' dhorse ' is ' DARK HORSE '. ' provides ' is the link.,dark horse
Most successful pledge disposing of Bible as a gift (8),' a gift ' is the definition. (bestowal is a kind of gift) ' most successful pledge disposing of bible ' is the wordplay. ' most successful ' becomes ' best '. ' pledge ' becomes ' avowal '. ' disposing of ' is a deletion indicator. ' bible ' becomes ' av '. ' avowal ' with ' av ' taken away is ' owal '. ' best '+' owal '=' BESTOWAL ' ' as ' acts as a link.,bestowal
Muslim ascetic put Queen Victoria's head in bowl (7),' muslim ascetic ' is the definition.  ' put queen victoria's head in bowl ' is the wordplay. ' put ' indicates putting letters inside. ' queen ' becomes ' er ' (abbreviation for Elizabeth Regina**) . ' head ' indicates taking the first letters. ' in ' indicates putting letters inside. ' bowl ' becomes ' dish '  . The first letter of ' v ictoria ' is ' v '. ' v ' placed inside ' dish ' is ' dvish '. ' er ' going into ' dvish ' is ' DERVISH '.,dervish
Rambert's head stopping basic support for dancers (5),' support for dancers ' is the definition. (type of bar used in ballet) ' rambert's head stopping basic ' is the wordplay. ' head ' suggests taking the first letters. ' stopping ' means one lot of letters goes inside another (stopping can mean blocking a gap) . ' basic ' becomes ' bare '. The first letter of ' r ambert ' is ' r '. ' r ' inserted inside ' bare ' is ' BARRE '.,barre
"Star with a gorgeous figure? (8,4)",' star ' is the definition. (thesaurus) ' with a gorgeous figure? ' is the wordplay. ' with ' means one lot of letters go next to another. ' a gorgeous ' becomes ' heavenly '. ' figure? ' becomes ' body ' (figure is a kind of body**) . ' heavenly ' put next to ' body ' is ' HEAVENLY BODY '.,heavenly body
Playing Garth Peel in The Wire (9),' wire ' is the definition. (telegraph wire is a kind of wire) ' playing garth peel ' is the wordplay. ' playing ' indicates anagramming the letters. ' garth '+' peel '=' garthpeel ' ' garthpeel ' with letters rearranged gives ' TELEGRAPH '. ' in the ' acts as a link.,telegraph
Early text dismissing model of Ford Escort (9),' escort ' is the definition. (chaperoning is a kind of escorting) ' early text dismissing model of ford ' is the wordplay. ' early text ' becomes ' chapterone '. ' dismissing ' suggests deleting specific letters. ' model of ford ' becomes ' t ' (Ford Model T car) . ' chapterone ' with ' t ' removed is ' CHAPERONE '.,chaperone
Turn up past record first (8),' turn up ' is the definition. (thesaurus) ' past record first ' is the wordplay. ' past ' becomes ' over '  . ' record ' becomes ' disc ' ('disc' can be a synonym of 'record'**) . ' first ' says to put letters next to each other. ' over ' put after ' disc ' is ' DISCOVER '.,discover
Point of no return for Polish idol (7),' point of no return ' is the definition. ('Rubicon' can be a synonym of 'point of no return') ' polish idol ' is the wordplay. ' polish ' becomes ' rub ' (polish meaning rub to make shiny) . ' idol ' becomes ' icon '  . ' rub '+' icon '=' RUBICON ' ' for ' acts as a link.,rubicon
Raucous artist's son immersed in Times (6),' raucous ' is the definition. (thesaurus) ' artist's son immersed in times ' is the wordplay. ' artist's ' becomes ' ras ' (Royal Academician's abbreviation) . ' son ' becomes ' s '. ' immersed in ' is an insertion indicator. ' times ' becomes ' by '  . ' ras '+' s '=' rass ' ' rass ' inserted within ' by ' is ' BRASSY '.,brassy
"Begin with the E in “ale” (3,3)",' begin ' is the definition. ('set out' can be a synonym of 'begin') ' the e in ale ' is the wordplay. ' in ' indicates putting letters inside. ' ale ' becomes ' stout ' (stout is a kind of ale) . ' e ' going into ' stout ' is ' SET-OUT '. ' with ' acts as a link.,set out
"I crept about, caught by quiet woman being alert (10)",' alert ' is the definition. (thesaurus) ' i crept about caught by quiet woman ' is the wordplay. ' about ' indicates an anagram. ' caught by ' means one lot of letters goes inside another. ' quiet ' becomes ' p ' (music symbol for 'piano') . ' woman ' becomes ' eve ' (Eve is an example**) . ' i '+' crept '=' icrept ' ' icrept ' is an anagram of ' rcepti '. ' p '+' eve '=' peve ' ' rcepti ' going within ' peve ' is ' PERCEPTIVE '. ' being ' is the link.,perceptive
Somewhere in France that's cleaner — and very French! (8),' somewhere in france ' is the definition. (French city) ' cleaner and very french ' is the wordplay. ' cleaner ' becomes ' char ' (charwoman is a type of cleaner) . ' and ' is a charade indicator (letters next to each other). ' very french ' becomes ' tres ' ('very' translated into French) . ' char '+' tres '=' CHARTRES ' ' that's ' is the link.,chartres
"Strange athlete, one breaking the law with spirit? (3,6)",' one breaking the law with spirit? ' is the definition. (historic term for an alcohol smuggler) ' strange athlete ' is the wordplay. ' strange ' becomes ' rum '  . ' athlete ' becomes ' runner ' (runner is a kind of athlete) . ' rum '+' runner '=' RUM-RUNNER ',rum-runner
Husband loves extremely short cleaner (6),' cleaner ' is the definition.  ' husband loves extremely short ' is the wordplay. ' husband ' becomes ' h '. ' loves ' becomes ' oo '. ' extremely ' becomes ' very '  . ' short ' means to remove the last letter. ' ver y ' with its final letter taken off is ' ver '. ' h '+' oo '+' ver '=' HOOVER ',hoover
Inquest briefly rubbished Glitter disc? (6),' glitter disc? ' is the definition. ' inquest briefly rubbished ' is the wordplay. ' briefly ' means to remove the last letter. ' rubbished ' indicates anagramming the letters. ' inques t ' with its final letter removed is ' inques '. ' inques ' with letters rearranged gives ' SEQUIN '.,sequin
He has dog rolling barrel (8),' barrel ' is the definition. (hogshead is a kind of barrel) ' he has dog rolling ' is the wordplay. ' rolling ' indicates anagramming the letters. ' he '+' has '+' dog '=' hehasdog ' ' hehasdog ' with letters rearranged gives ' HOGSHEAD '.,hogshead
"Dog’s plaything originally designed in SW resort (3,6)",' dog's ' is the definition. (toy poodle is a kind of dog) ' plaything originally designed in sw resort ' is the wordplay. ' plaything ' becomes ' toy ' ('toy' can be a synonym of 'plaything') . ' originally ' suggests taking the first letters. ' in ' is an insertion indicator. ' sw resort ' becomes ' poole ' (resort in the South West of England) . The initial letter of ' d esigned ' is ' d '. ' d ' placed within ' poole ' is ' poodle '. ' toy '+' poodle '=' TOY POODLE ',toy poodle
Answer in Quintagram not half odd (6),' odd ' is the definition. (thesaurus) ' answer in quintagram not half ' is the wordplay. ' answer ' becomes ' a ' (abbreviation eg in Q and A) . ' in ' is an insertion indicator. ' not half ' indicates taking half. ' quint agram ' halved is ' quint '. ' a ' inserted inside ' quint ' is ' QUAINT '.,quaint
Slow to use the garlic (9),' slow ' is the definition.  ' use the garlic ' is the wordplay. ' use ' is an anagram indicator. ' the '+' garlic '=' thegarlic ' ' thegarlic ' is an anagram of ' LETHARGIC '. ' to ' is the link.,lethargic
"Guardian's role initially, advocating ten essential glute exercises (8)",' guardian's role ' is the definition. ' initially advocating ten essential glute exercises ' is the wordplay. ' initially ' says to take the initial letters. ' exercises ' is an anagram indicator  . The first letters of ' a dvocating t en e ssential ' is ' ate '. ' ate '+' glute '=' ateglute ' ' ateglute ' with letters rearranged gives ' TUTELAGE '.,tutelage
Her music so confused a section of the choir (10),' a section of the choir ' is the definition. ' her music so confused ' is the wordplay. ' confused ' is an anagram indicator. ' her '+' music '+' so '=' hermusicso ' ' hermusicso ' anagrammed gives ' SEMICHORUS '.,semichorus
A gorilla playfully trapping tail of short reptile (9),' reptile ' is the definition. (alligator is a kind of reptile) ' a gorilla playfully trapping tail of short ' is the wordplay. ' playfully ' indicates an anagram  . ' trapping ' is an insertion indicator. ' of short ' suggests taking the first letters  . The first letter of ' t ail ' is ' t '. ' a '+' gorilla '=' agorilla ' ' agorilla ' anagrammed gives ' alligaor '. ' alligaor ' going around ' t ' is ' ALLIGATOR '.,alligator
Throttle component of carburettor again playing up (7),' throttle ' is the definition. (garotting is a kind of throttling) ' component of carburettor again playing up ' is the wordplay. ' component of ' says the answer is hidden in the clue  . ' up ' says the letters should be written in reverse (in down clue: letters go upwards) . ' ettorag ' can be found hidden inside ' carbur ettor ag ain playing '. ' ettorag ' backwards is ' GAROTTE '.,garotte
Reduce each damaged pen (7),' reduce ' is the definition.  ' each damaged pen ' is the wordplay. ' damaged ' is an anagram indicator. ' each ' anagrammed gives ' chea '. ' chea '+' pen '=' CHEAPEN ',cheapen
A series on hospital department will be caustic (10),' caustic ' is the definition. (thesaurus) ' a series on hospital department ' is the wordplay. ' series ' becomes ' string ' (sequence of similar items or events) . ' on ' means one lot of letters go next to another. ' hospital department ' becomes ' ent '. ' a '+' string '+' ent '=' ASTRINGENT ' ' will be ' acts as a link.,astringent
Fruitcake -- some Ellen miserably picked up (6),' fruitcake ' is the definition. ' some ellen miserably picked up ' is the wordplay. ' some ' indicates the answer is hidden within the clue (some of the parts of the word are used) . ' picked up ' says the letters should be written in reverse. ' lenmis ' is hidden within ' el len mis erably '. ' lenmis ' reversed gives ' SIMNEL '.,simnel
Colossus inspiring current painter (6),' painter ' is the definition. (Titian is an example) ' colossus inspiring current ' is the wordplay. ' colossus ' becomes ' titan ' ('titan' can be a synonym of 'colossus') . ' inspiring ' indicates putting letters inside. ' current ' becomes ' i ' (symbol for electric current) . ' titan ' placed around ' i ' is ' TITIAN '.,titian
Timid wren flying when it's really cold (9),' when it's really cold ' is the definition. ' timid wren flying ' is the wordplay. ' flying ' indicates an anagram. ' timid '+' wren '=' timidwren ' ' timidwren ' anagrammed gives ' MIDWINTER '.,midwinter
"Test art works, little pieces (7)",' little pieces ' is the definition. ' test art works ' is the wordplay. ' works ' is an anagram indicator. ' test '+' art '=' testart ' ' testart ' is an anagram of ' TATTERS '.,tatters
Pain in mouth cut windpipe (7),' windpipe ' is the definition. ('trachea' can be a synonym of 'windpipe') ' pain in mouth cut ' is the wordplay. ' pain ' becomes ' ache ' (ache is a kind of pain**) . ' in ' means one lot of letters goes inside another. ' mouth ' becomes ' trap ' (informal term for mouth) . ' cut ' means to remove the last letter. ' tra p ' with its final letter removed is ' tra '. ' ache ' put within ' tra ' is ' TRACHEA '.,trachea
"Occasionally viewed in car, local tribal country (7)",' country ' is the definition. (Croatia is an example) ' occasionally viewed in car local tribal ' is the wordplay. ' occasionally viewed in ' means one should take alternating letters (letters selected at regular intervals) . ' car '+' local '+' tribal '=' carlocaltribal ' The alternate letters of ' c a r l o c a l t r i b a l ' are ' CROATIA '.,croatia
"A source of wealth, bigwig backed Antipodean soldier largely (7)",' a source of wealth ' is the definition.  ' bigwig backed antipodean soldier largely ' is the wordplay. ' bigwig ' becomes ' nob ' (both can mean a wealthy person) . ' backed ' says the letters should be written backwards. ' antipodean soldier ' becomes ' anzac '  . ' largely ' means to remove the last letter. ' nob ' backwards is ' bon '. ' anza c ' with its final letter removed is ' anza '. ' bon '+' anza '=' BONANZA ',bonanza
Contradiction’s genuine about object of ridicule (8),' contradiction's ' is the definition. (thesaurus) ' genuine about object of ridicule ' is the wordplay. ' genuine ' becomes ' real ' ('real' is associated in meaning with 'genuine') . ' about ' is an insertion indicator. ' object of ridicule ' becomes ' butt '  . ' real ' going around ' butt ' is ' REBUTTAL '.,rebuttal
Equestrian competition unfinished still (4),' still ' is the definition. ('even' can be a synonym of 'still') ' equestrian competition unfinished ' is the wordplay. ' equestrian competition ' becomes ' event '. ' unfinished ' means to remove the last letter. ' even t ' with its last letter removed is ' EVEN '.,even
Control river parasites (6),' control ' is the definition.  ' river parasites ' is the wordplay. ' river ' becomes ' po ' (Italian river) . ' parasites ' becomes ' lice '  . ' po '+' lice '=' POLICE ',police
Experiment involves cat finding fish (7),' fish ' is the definition. (teleost is a kind of fish) ' experiment involves cat ' is the wordplay. ' experiment ' becomes ' test ' (test is a kind of experiment) . ' involves ' indicates putting letters inside. ' cat ' becomes ' leo ' ('lion' in Latin) . ' test ' going around ' leo ' is ' TELEOST '. ' finding ' is the link.,teleost
Company adopting adult vice in place of gambling (6),' place of gambling ' is the definition. ' company adopting adult vice ' is the wordplay. ' company ' becomes ' co ' (abbreviation) . ' adopting ' is an insertion indicator. ' adult ' becomes ' a '. ' vice ' becomes ' sin '. ' a '+' sin '=' asin ' ' co ' placed around ' asin ' is ' CASINO '. ' in ' is the link.,casino
Sings the praises of former partner lost at sea (6),' sings the praises of ' is the definition.  ' former partner lost at sea ' is the wordplay. ' former partner ' becomes ' ex '. ' at sea ' indicates an anagram. ' lost ' is an anagram of ' tols '. ' ex '+' tols '=' EXTOLS ',extols
Opposed to a holy man pocketing reward (7),' opposed to ' is the definition. (thesaurus) ' a holy man pocketing reward ' is the wordplay. ' holy man ' becomes ' st '. ' pocketing ' is an insertion indicator. ' reward ' becomes ' gain '  . ' a '+' st '=' ast ' ' ast ' going around ' gain ' is ' AGAINST '.,against
River rapid on fresh bit of water (8),' bit of water ' is the definition. ' river rapid on fresh ' is the wordplay. ' river ' becomes ' r '. ' fresh ' indicates anagramming the letters. ' rapid '+' on '=' rapidon ' ' rapidon ' with letters rearranged gives ' aindrop '. ' r '+' aindrop '=' RAINDROP ',raindrop
"Feeling sick, to begin with, in South Eastern country (9)",' feeling ' is the definition. (sensation is a kind of feeling) ' sick to begin with in south eastern country ' is the wordplay. ' to begin with ' suggests taking the first letters. ' in ' means one lot of letters goes inside another. ' south eastern ' becomes ' se '. ' country ' becomes ' nation ' ('nation' can be a synonym of 'country'**) . The initial letter of ' s ick ' is ' s '. ' se '+' nation '=' senation ' ' s ' put into ' senation ' is ' SENSATION '.,sensation
"Chinese dynasty, something bright and good (4)",' chinese dynasty ' is the definition.  ' something bright and good ' is the wordplay. ' something bright ' becomes ' sun '. ' and ' means one lot of letters go next to another. ' good ' becomes ' g ' (abbreviation) . ' sun '+' g '=' SUNG ',sung
Against having trip — something seen on map? (7),' something seen on map? ' is the definition. ' against having trip ' is the wordplay. ' against ' becomes ' con '  . ' having ' means one lot of letters go next to another. ' trip ' becomes ' tour '  . ' con '+' tour '=' CONTOUR ',contour
Function popular in the Home Counties (4),' function ' is the definition. (mathematical function) ' popular in the home counties ' is the wordplay. ' popular ' becomes ' in '. ' in the ' is an insertion indicator. ' home counties ' becomes ' se '. ' in ' going into ' se ' is ' SINE '.,sine
Wallet from coat seen folded,' wallet ' is the definition. ('notecase' can be a synonym of 'wallet') ' coat seen folded ' is the wordplay. ' folded ' indicates anagramming the letters. ' coat '+' seen '=' coatseen ' ' coatseen ' with letters rearranged gives ' NOTECASE '. ' from ' is the link.,notecase
"Stand in rear of nightspot, then bolt (6)",' stand ' is the definition. (trivet is a kind of stand) ' rear of nightspot then bolt ' is the wordplay. ' rear of ' suggests the final letters. ' then ' is a charade indicator (letters next to each other). ' bolt ' becomes ' rivet '  . The last letter of ' nightspo t ' is ' t '. ' t '+' rivet '=' TRIVET ' ' in ' is the link.,trivet
Small number clothing small honey (7),' honey ' is the definition. (thesaurus) ' small number clothing small ' is the wordplay. ' small ' becomes ' s ' (abbreviation - e.g. clothes size) . ' number ' becomes ' ten ' (ten is a kind of number) . ' clothing ' is an insertion indicator. ' small ' becomes ' wee ' ('wee' can be similar in meaning to 'small'**) . ' s '+' ten '=' sten ' ' sten ' going around ' wee ' is ' SWEETEN '.,sweeten
Scottish island to have a go at crime (8),' crime ' is the definition. (historical type of fraud) ' scottish island to have a go ' is the wordplay. ' scottish island ' becomes ' barra '  . ' to have ' means one lot of letters go next to another. ' a go ' becomes ' try '  . ' barra '+' try '=' BARRATRY ' ' at ' is the link.,barratry
Managed rising artist moving into storytelling (9),"' storytelling ' is the definition.  ' managed rising artist moving into ' is the wordplay. ' managed ' becomes ' ran '  . ' rising ' shows that the letters should be reversed in order (going up in a down clue) . ' artist ' becomes ' ra ' (Royal Academician, member of Royal Academy of Arts) . ' moving ' indicates anagramming the letters. ' ran ' written backwards gives ' nar '. ' into ' with letters rearranged gives ' tion '. ' nar '+' ra '+' tion '=' NARRATION '",narration
One less than flexible pole and feather duster? (8),' one less than flexible ' is the definition. ' pole and feather duster? ' is the wordplay. ' pole ' becomes ' s '. ' and ' says to put letters next to each other. ' feather duster? ' becomes ' tickler '. ' s '+' tickler '=' STICKLER ',stickler
Force politician into fabrication of lie (5),' force ' is the definition. ('impel' can be a synonym of 'force') ' politician into fabrication of lie ' is the wordplay. ' politician ' becomes ' mp '. ' into ' means one lot of letters goes inside another. ' fabrication of ' indicates anagramming the letters  . ' lie ' with letters rearranged gives ' iel '. ' mp ' put inside ' iel ' is ' IMPEL '.,impel
Pine or ivory twin heads on taps? (4),' pine ' is the definition. (thesaurus) ' ivory twin heads on taps? ' is the wordplay. ' heads ' indicates taking the first letters. ' on ' says to put letters next to each other. ' taps? ' becomes ' ch '  . The first letters of ' i vory t win ' is ' it '. ' it '+' ch '=' ITCH ' ' or ' is the link.,itch
Fancy going topless for paper (4),' paper ' is the definition.  ' fancy going topless ' is the wordplay. ' fancy ' becomes ' dream '  . ' going topless ' means to remove the first letter. ' d ream ' with its first letter removed is ' REAM '. ' for ' is the link.,ream
"Profit about to go up (4,2)",' profit ' is the definition. ' about to go up ' is the wordplay. ' about ' becomes ' ca ' (abbreviation for 'circa') . ' to go up ' becomes ' shin ' (shin can mean to climb) . ' ca '+' shin '=' CASH IN ',cash in
Shrub identified by the Italian divorcee (4),' shrub ' is the definition. (ilex is a genus of shrub) ' the italian divorcee ' is the wordplay. ' the italian ' becomes ' il ' (the in Italian) . ' divorcee ' becomes ' ex '  . ' il '+' ex '=' ILEX ' ' identified by ' is the link.,ilex
"Computer screen maybe shows fine creatures running around (4,9)",' computer screen maybe ' is the definition. ' fine creatures running around ' is the wordplay. ' running around ' indicates an anagram. ' fine '+' creatures '=' finecreatures ' ' finecreatures ' is an anagram of ' USER INTERFACE '. ' shows ' acts as a link.,user interface
Second double fifty secured by man (9),' second ' is the definition.  ' double fifty secured by man ' is the wordplay. ' double ' becomes ' twin '  . ' fifty ' becomes ' l ' ('L' can be a synonym of 'fifty') . ' secured by ' means one lot of letters goes inside another  . ' man ' becomes ' king ' (king is a kind of man**) . ' l ' placed inside ' king ' is ' kling '. ' twin '+' kling '=' TWINKLING ',twinkling
Payment for insurance before parent’s going around India (7),"' payment for insurance ' is the definition.  ' before parent's going around india ' is the wordplay. ' before ' becomes ' pre '. ' parent ' becomes ' mum ' (mum is a kind of parent) . ' going around ' is an insertion indicator. ' india ' becomes ' i ' (phonetic alphabet: alpha,  bravo, charlie etc.) . ' mum ' going around ' i ' is ' mium '. ' pre '+' mium '=' PREMIUM '",premium
Fellow involved in robbery is a pleasure-seeker (8),' pleasure-seeker ' is the definition. (thesaurus) ' fellow involved in robbery ' is the wordplay. ' fellow ' becomes ' don '  . ' involved in ' indicates putting letters inside. ' robbery ' becomes ' heist ' (heist is a kind of robbery) . ' don ' inserted inside ' heist ' is ' HEDONIST '. ' is a ' is the link.,hedonist
Acceptable footwear sailor finally carried towards land (7),' towards land ' is the definition.  ' acceptable footwear sailor finally carried ' is the wordplay. ' acceptable ' becomes ' on '  . ' footwear ' becomes ' shoe ' (shoe is a kind of footwear) . ' finally ' suggests the final letters. ' carried ' indicates putting letters inside (one word carried by another word) . The final letter of ' sailo r ' is ' r '. ' shoe ' placed around ' r ' is ' shore '. ' on '+' shore '=' ONSHORE ',onshore
Cook returns from week abroad (4),' cook ' is the definition. (baking is a kind of cooking) ' returns from week abroad ' is the wordplay. ' returns ' is a reversal indicator. ' from ' indicates a hidden word. ' ekab ' is hidden in the letters of ' we ek ab road '. ' ekab ' backwards is ' BAKE '.,bake
"In military terms, prime blunder by revolutionary faction (5,4)",' in military terms prime ' is the definition. (both can mean to prepare a weapon or trap) ' blunder by revolutionary faction ' is the wordplay. ' blunder ' becomes ' boob ' ('boob' can be a synonym of 'blunder'**) . ' by ' is a charade indicator (letters next to each other). ' revolutionary ' says the letters should be written backwards. ' faction ' becomes ' party '. ' party ' backwards is ' ytrap '. ' boob '+' ytrap '=' BOOBY-TRAP ',booby-trap
Information hiding up in caves a bat adopted (8),' information ' is the definition. (database is a kind of information) ' hiding up in caves a bat adopted ' is the wordplay. ' up ' is a reversal indicator (in down clue: letters go upwards) . ' hiding ' says the answer is hidden in the clue. ' esabatad ' is hidden in the letters of ' in cav es a bat ad opted '. ' esabatad ' backwards is ' DATABASE '.,database
Cat regularly playing — a sign of affection (4),"' cat ' is the definition.  ' regularly playing a sign of affection ' is the wordplay. ' regularly ' means one should take alternating letters (regularly take one letter, leave next etc.) . ' a sign of affection ' becomes ' x ' (used to represent a kiss) . The alternating letters of ' p l a y i n g ' are ' lyn '. ' lyn '+' x '=' LYNX '",lynx
What listeners in religious education practise (8),' practise ' is the definition. ('rehearse' can be a synonym of 'practise') ' what listeners in religious education ' is the wordplay. ' what ' becomes ' eh '  . ' listeners ' becomes ' ears '. ' in ' is an insertion indicator. ' religious education ' becomes ' re '. ' eh '+' ears '=' ehears ' ' ehears ' placed inside ' re ' is ' REHEARSE '.,rehearse
One kills when elite troops stray from path (8),' one kills ' is the definition. ' when elite troops stray from path ' is the wordplay. ' when ' becomes ' as ' (eg 'when I walked' means 'as I walked') . ' elite troops ' becomes ' SAS ' (Special Air Service) . ' stray from path ' becomes ' sin '. ' as '+' sas '+' sin '=' ASSASSIN ',assassin
"Under pressure, ready for a change, said Grace? (6)",' said grace? ' is the definition. ' under pressure ready for a change ' is the wordplay. ' under ' says to put letters next to each other. ' pressure ' becomes ' p ' (abbreviation) . ' for a change ' is an anagram indicator. ' ready ' with letters rearranged gives ' rayed '. ' p ' put next to ' rayed ' is ' PRAYED '.,prayed
Temperature over Havana is dire (6),' dire ' is the definition.  ' temperature over havana ' is the wordplay. ' temperature ' becomes ' t ' (abbreviation) . ' over ' shows that the letters should be reversed in order. ' havana ' becomes ' cigar '  . ' cigar ' reversed gives ' ragic '. ' t '+' ragic '=' TRAGIC ' ' is ' is the link.,tragic
Meeting team at last after my opus is broadcast (9),' meeting ' is the definition. (symposium is a kind of meeting) ' team at last after my opus is broadcast ' is the wordplay. ' at last ' suggests the final letters. ' after ' means one lot of letters go next to another. ' broadcast ' is an anagram indicator. The last letter of ' tea m ' is ' m '. ' my '+' opus '+' is '=' myopusis ' ' myopusis ' with letters rearranged gives ' symposiu '. ' m ' after ' symposiu ' is ' SYMPOSIUM '.,symposium
One European sacked from job as health worker (5),' health worker ' is the definition. The definition suggests a singular noun which matches the answer. ' one european sacked from job ' is the wordplay. ' one european ' becomes ' e ' (abbreviation e.g. EU) . ' sacked from ' indicates named letters should be taken away. ' job ' becomes ' career '  . ' career ' with ' e ' removed is ' CARER '. ' as ' is the link.,carer
Westbound sailor taking in coastal country's capital (6),' capital ' is the definition. (Bogota is an example) ' westbound sailor taking in coastal country's ' is the wordplay. ' westbound ' says the letters should be written backwards (letters written from right to left) . ' sailor ' becomes ' ab ' (abbreviation for able seaman) . ' taking in ' means one lot of letters goes inside another. ' coastal country ' becomes ' togo '. ' ab ' enclosing ' togo ' is ' atogob '. ' atogob ' reversed gives ' BOGOTA '.,bogota
"Poor health for partner (5,4)",' partner ' is the definition.  ' poor health for ' is the wordplay. ' poor ' indicates anagramming the letters. ' health '+' for '=' healthfor ' ' healthfor ' anagrammed gives ' OTHER HALF '.,other half
Going back to quarters to study (4),' study ' is the definition. (swotting is a kind of studying) ' going back to quarters ' is the wordplay. ' going back ' says the letters should be written in reverse. ' quarters ' becomes ' ws ' (**) . ' to '+' ws '=' tows ' ' tows ' reversed gives ' SWOT '. ' to ' is the link.,swot
